spot_key,file_count,primary_domain,phase_refs,status,notes
lib/core/cloud,4,cloud-integration,"7.7,8.1,9.2.6",active,architecture spot for file placement
lib/core/config,3,config-and-theme,"7.5,10.3,10.4",active,architecture spot for file placement
lib/core/constants,2,config-and-theme,"7.5,10.3,10.4",active,architecture spot for file placement
lib/core/controllers,26,workflow-controllers,"1.2,10.1,7",active,architecture spot for file placement
lib/core/crypto,17,security-signal,"2.4,2.5,7.7",active,architecture spot for file placement
lib/core/deployment,1,deployment-sync,"7.7,7.8",active,architecture spot for file placement
lib/core/legal,3,legal-domain,"2.1,10.1",active,architecture spot for file placement
lib/core/ml,22,ml-legacy-and-transition,"10.8.1,4,5",active,architecture spot for file placement
lib/core/models,142,core-models,"3.1,3.4,10.7.3",active,architecture spot for file placement
lib/core/monitoring,9,monitoring-observability,"7.7,7.7A,8.8",active,architecture spot for file placement
lib/core/p2p,2,legacy-p2p,"methodology,10.2",active,architecture spot for file placement
lib/core/services/admin,14,core-services-general,"1,2,3,4,5,6,7,8,9,10",active,architecture spot for file placement
lib/core/services/ai_infrastructure,14,core-services-general,"1,2,3,4,5,6,7,8,9,10",active,architecture spot for file placement
lib/core/services/analytics,8,core-services-general,"1,2,3,4,5,6,7,8,9,10",active,architecture spot for file placement
lib/core/services/behavior,3,core-services-general,"1,2,3,4,5,6,7,8,9,10",active,architecture spot for file placement
lib/core/services/bert_squad,4,core-services-general,"1,2,3,4,5,6,7,8,9,10",active,architecture spot for file placement
lib/core/services/business,20,core-services-general,"1,2,3,4,5,6,7,8,9,10",active,architecture spot for file placement
lib/core/services/calling_score,6,core-services-general,"1,2,3,4,5,6,7,8,9,10",active,architecture spot for file placement
lib/core/services/chat,4,core-services-general,"1,2,3,4,5,6,7,8,9,10",active,architecture spot for file placement
lib/core/services/community,10,core-services-general,"1,2,3,4,5,6,7,8,9,10",active,architecture spot for file placement
lib/core/services/cross_app,5,core-services-general,"1,2,3,4,5,6,7,8,9,10",active,architecture spot for file placement
lib/core/services/device,12,core-services-general,"1,2,3,4,5,6,7,8,9,10",active,architecture spot for file placement
lib/core/services/device_link,8,core-services-general,"1,2,3,4,5,6,7,8,9,10",active,architecture spot for file placement
lib/core/services/device_sync,4,core-services-general,"1,2,3,4,5,6,7,8,9,10",active,architecture spot for file placement
lib/core/services/disputes,2,core-services-general,"1,2,3,4,5,6,7,8,9,10",active,architecture spot for file placement
lib/core/services/events,8,core-services-general,"1,2,3,4,5,6,7,8,9,10",active,architecture spot for file placement
lib/core/services/expertise,16,core-services-general,"1,2,3,4,5,6,7,8,9,10",active,architecture spot for file placement
lib/core/services/fraud,4,core-services-general,"1,2,3,4,5,6,7,8,9,10",active,architecture spot for file placement
lib/core/services/geographic,11,core-services-general,"1,2,3,4,5,6,7,8,9,10",active,architecture spot for file placement
lib/core/services/infrastructure,13,core-services-general,"1,2,3,4,5,6,7,8,9,10",active,architecture spot for file placement
lib/core/services/interfaces,3,core-services-general,"1,2,3,4,5,6,7,8,9,10",active,architecture spot for file placement
lib/core/services/ledgers,11,core-services-general,"1,2,3,4,5,6,7,8,9,10",active,architecture spot for file placement
lib/core/services/lists,6,core-services-general,"1,2,3,4,5,6,7,8,9,10",active,architecture spot for file placement
lib/core/services/local_llm,11,core-services-general,"1,2,3,4,5,6,7,8,9,10",active,architecture spot for file placement
lib/core/services/locality_agents,10,core-services-general,"1,2,3,4,5,6,7,8,9,10",active,architecture spot for file placement
lib/core/services/matching,14,core-services-general,"1,2,3,4,5,6,7,8,9,10",active,architecture spot for file placement
lib/core/services/misc,5,core-services-general,"1,2,3,4,5,6,7,8,9,10",active,architecture spot for file placement
lib/core/services/network,6,core-services-general,"1,2,3,4,5,6,7,8,9,10",active,architecture spot for file placement
lib/core/services/onboarding,10,core-services-general,"1,2,3,4,5,6,7,8,9,10",active,architecture spot for file placement
lib/core/services/outside_buyer,2,core-services-general,"1,2,3,4,5,6,7,8,9,10",active,architecture spot for file placement
lib/core/services/partnerships,3,core-services-general,"1,2,3,4,5,6,7,8,9,10",active,architecture spot for file placement
lib/core/services/payment,14,core-services-general,"1,2,3,4,5,6,7,8,9,10",active,architecture spot for file placement
lib/core/services/places,12,core-services-general,"1,2,3,4,5,6,7,8,9,10",active,architecture spot for file placement
lib/core/services/predictive_outreach,22,core-services-general,"1,2,3,4,5,6,7,8,9,10",active,architecture spot for file placement
lib/core/services/quantum,22,core-services-general,"1,2,3,4,5,6,7,8,9,10",active,architecture spot for file placement
lib/core/services/recommendations,5,core-services-general,"1,2,3,4,5,6,7,8,9,10",active,architecture spot for file placement
lib/core/services/reservation,21,core-services-general,"1,2,3,4,5,6,7,8,9,10",active,architecture spot for file placement
lib/core/services/security,12,security-services,"2.1,2.2,2.5",active,architecture spot for file placement
lib/core/services/social_media,20,core-services-general,"1,2,3,4,5,6,7,8,9,10",active,architecture spot for file placement
lib/core/services/telemetry,2,core-services-general,"1,2,3,4,5,6,7,8,9,10",active,architecture spot for file placement
lib/core/services/user,7,core-services-general,"1,2,3,4,5,6,7,8,9,10",active,architecture spot for file placement
lib/core/services/visualization,5,core-services-general,"1,2,3,4,5,6,7,8,9,10",active,architecture spot for file placement
lib/core/sync,1,deployment-sync,"7.7,7.8",active,architecture spot for file placement
lib/core/theme,10,config-and-theme,"7.5,10.3,10.4",active,architecture spot for file placement
lib/core/utils,2,core-utils,"10.2,10.7",active,architecture spot for file placement
lib/data/database,10,data-layer,"1.1,1.2,2.1,10.7",active,architecture spot for file placement
lib/data/datasources,26,data-layer,"1.1,1.2,2.1,10.7",active,architecture spot for file placement
lib/data/objectbox,6,data-layer,"1.1,1.2,2.1,10.7",active,architecture spot for file placement
lib/data/repositories,13,data-layer,"1.1,1.2,2.1,10.7",active,architecture spot for file placement
lib/domain/repositories,5,domain-layer,10.8.3,active,architecture spot for file placement
lib/domain/usecases,15,domain-layer,10.8.3,active,architecture spot for file placement
lib/presentation/blocs,5,presentation,"10.1,10.3,10.4",active,architecture spot for file placement
lib/presentation/pages,173,presentation,"10.1,10.3,10.4",active,architecture spot for file placement
lib/presentation/routes,1,presentation,"10.1,10.3,10.4",active,architecture spot for file placement
lib/presentation/widgets,204,presentation,"10.1,10.3,10.4",active,architecture spot for file placement
macos/.gitignore,1,platform-runtime,"7.5,11.2",active,architecture spot for file placement
macos/Flutter,3,platform-runtime,"7.5,11.2",active,architecture spot for file placement
macos/Podfile,1,platform-runtime,"7.5,11.2",active,architecture spot for file placement
macos/RunnerTests,1,platform-runtime,"7.5,11.2",active,architecture spot for file placement
macos/fix_xcode_cache.sh,1,platform-runtime,"7.5,11.2",active,architecture spot for file placement
native/knot_math,24,native-modules,"2.4,11.2",active,architecture spot for file placement
native/signal_ffi,21,security-signal-ffi,"2.4,2.5,10.2",active,architecture spot for file placement
packages/avrai_ai,7,package-modules,"packaging,10.7,10.8",active,architecture spot for file placement
packages/avrai_app,1,package-modules,"packaging,10.7,10.8",active,architecture spot for file placement
packages/avrai_core,35,package-modules,"packaging,10.7,10.8",active,architecture spot for file placement
packages/avrai_data,1,package-modules,"packaging,10.7,10.8",active,architecture spot for file placement
packages/avrai_knot,86,package-modules,"packaging,10.7,10.8",active,architecture spot for file placement
packages/avrai_ml,1,package-modules,"packaging,10.7,10.8",active,architecture spot for file placement
packages/avrai_network,72,package-modules,"packaging,10.7,10.8",active,architecture spot for file placement
packages/avrai_quantum,7,quantum-package,"10.8.2,11.4",active,architecture spot for file placement
packages/spots_knot,4,package-modules,"packaging,10.7,10.8",active,architecture spot for file placement
scripts/_root,138,tooling-ops,"10.2,methodology",active,architecture spot for file placement
scripts/ci,9,tooling-ops,"10.2,methodology",active,architecture spot for file placement
scripts/data_collection,3,tooling-ops,"10.2,methodology",active,architecture spot for file placement
scripts/deploy,2,tooling-ops,"10.2,methodology",active,architecture spot for file placement
scripts/ecommerce_experiments,37,tooling-ops,"10.2,methodology",active,architecture spot for file placement
scripts/experiments,1,tooling-ops,"10.2,methodology",active,architecture spot for file placement
scripts/geo,2,tooling-ops,"10.2,methodology",active,architecture spot for file placement
scripts/knot_validation,18,tooling-ops,"10.2,methodology",active,architecture spot for file placement
scripts/ml,20,tooling-ops,"10.2,methodology",active,architecture spot for file placement
scripts/patent_visuals,1,tooling-ops,"10.2,methodology",active,architecture spot for file placement
scripts/patents,4,tooling-ops,"10.2,methodology",active,architecture spot for file placement
scripts/perf,4,tooling-ops,"10.2,methodology",active,architecture spot for file placement
scripts/personality_data,30,tooling-ops,"10.2,methodology",active,architecture spot for file placement
scripts/proof_run,2,tooling-ops,"10.2,methodology",active,architecture spot for file placement
scripts/runtime,15,tooling-ops,"10.2,methodology",active,architecture spot for file placement
scripts/security,1,tooling-ops,"10.2,methodology",active,architecture spot for file placement
scripts/security_validation,4,tooling-ops,"10.2,methodology",active,architecture spot for file placement
scripts/smoke,1,tooling-ops,"10.2,methodology",active,architecture spot for file placement
scripts/supabase,14,tooling-ops,"10.2,methodology",active,architecture spot for file placement
supabase/.gitignore,1,supabase-infra,"1.1,2.1,8.1,9",active,architecture spot for file placement
supabase/config.toml,1,supabase-infra,"1.1,2.1,8.1,9",active,architecture spot for file placement
supabase/functions,28,supabase-infra,"1.1,2.1,8.1,9",active,architecture spot for file placement
supabase/migrations,94,supabase-infra,"1.1,2.1,8.1,9",active,architecture spot for file placement
supabase/sql,6,data-platform-sql,"1.1,2.1,8.1,9.2.6",active,architecture spot for file placement
test/_root,96,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/compliance/quantum,1,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/core/ai,1,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/core/ai2ai,1,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/core/crypto,13,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/core/models,2,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/core/services,24,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/integration/ai,19,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/integration/ai2ai,2,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/integration/brand,6,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/integration/community,1,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/integration/controllers,17,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/integration/database,1,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/integration/events,6,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/integration/expertise,8,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/integration/geographic,3,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/integration/infrastructure,12,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/integration/knot,4,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/integration/maps,3,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/integration/migration,1,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/integration/onboarding,8,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/integration/partnerships,5,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/integration/payments,7,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/integration/personality,3,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/integration/products,2,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/integration/quantum,1,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/integration/security,9,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/integration/services,12,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/integration/signal,4,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/integration/ui,7,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/integration/visualization,1,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/packages/avrai_network,1,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/performance/ai_ml,1,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/performance/baselines,4,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/performance/benchmarks,1,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/performance/load,1,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/performance/memory,1,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/performance/quantum,1,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/performance/reports,1,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/performance/ui,1,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/presentation/pages,4,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/unit/advanced,2,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/unit/ai,51,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/unit/ai2ai,19,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/unit/audio,4,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/unit/blocs,4,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/unit/cloud,4,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/unit/controllers,22,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/unit/crypto,2,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/unit/data,20,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/unit/deployment,1,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/unit/domain,14,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/unit/ml,10,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/unit/models,56,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/unit/monitoring,5,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/unit/network,6,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/unit/p2p,2,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/unit/quantum,1,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/unit/repositories,1,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/unit/routes,1,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/unit/scripts,1,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/unit/services,192,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/unit/sync,1,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/unit/theme,2,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/unit/widgets,2,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/widget/accessibility,1,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/widget/components,3,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/widget/helpers,2,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/widget/knot,2,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/widget/mocks,1,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/widget/pages,56,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/widget/visualization,1,testing-quality,"10.6,methodology",active,architecture spot for file placement
test/widget/widgets,101,testing-quality,"10.6,methodology",active,architecture spot for file placement
tool/ledger_smoke.dart,1,tooling-dev,methodology,active,architecture spot for file placement
tool/squarespace-mcp,1,tooling-dev,methodology,active,architecture spot for file placement
tool/update_execution_board.dart,1,tooling-dev,methodology,active,architecture spot for file placement
tool/update_three_prong_reviews.dart,1,tooling-dev,methodology,active,architecture spot for file placement
web/favicon.png,1,platform-runtime,"7.5,11.2",active,architecture spot for file placement
web/icons,4,platform-runtime,"7.5,11.2",active,architecture spot for file placement
web/index.html,1,platform-runtime,"7.5,11.2",active,architecture spot for file placement
web/manifest.json,1,platform-runtime,"7.5,11.2",active,architecture spot for file placement
