profile_id,has_user_id,can_reconstruct,compatibility_calculable,zero_knowledge_valid
profile_0467,False,False,True,True
profile_0468,False,True,True,False
profile_0469,False,False,True,True
profile_0470,False,False,True,True
profile_0471,False,False,True,True
profile_0472,False,False,True,True
profile_0473,False,False,True,True
profile_0474,False,False,True,True
profile_0475,False,True,True,False
profile_0476,False,True,True,False
profile_0477,False,False,True,True
profile_0478,False,False,True,True
profile_0479,False,False,True,True
profile_0480,False,False,True,True
profile_0481,False,False,True,True
profile_0482,False,False,True,True
profile_0483,False,False,True,True
profile_0484,False,False,True,True
profile_0485,False,False,True,True
profile_0486,False,False,True,True
profile_0487,False,False,True,True
profile_0488,False,False,True,True
profile_0489,False,True,True,False
profile_0490,False,False,True,True
profile_0491,False,False,True,True
profile_0492,False,False,True,True
profile_0493,False,False,True,True
profile_0494,False,True,True,False
profile_0495,False,False,True,True
profile_0496,False,False,True,True
profile_0497,False,True,True,False
profile_0498,False,True,True,False
profile_0499,False,False,True,True
