agent_id,ai_keys_visible,personal_keys_visible,location_keys_visible,total_visible_keys,ai_only_accuracy
user_0092,9,0,3,9,1.0
user_0093,9,0,3,9,1.0
user_0094,9,0,3,9,1.0
user_0095,9,0,3,9,1.0
user_0096,9,0,3,9,1.0
user_0097,9,0,3,9,1.0
user_0098,9,0,3,9,1.0
user_0099,9,0,3,9,1.0
user_0100,9,0,3,9,1.0
user_0101,9,0,3,9,1.0
user_0102,9,0,3,9,1.0
user_0103,9,0,3,9,1.0
user_0104,9,0,3,9,1.0
user_0105,9,0,3,9,1.0
user_0106,9,0,3,9,1.0
user_0107,9,0,3,9,1.0
user_0108,9,0,3,9,1.0
user_0109,9,0,3,9,1.0
user_0110,9,0,3,9,1.0
user_0111,9,0,3,9,1.0
user_0112,9,0,3,9,1.0
user_0113,9,0,3,9,1.0
user_0114,9,0,3,9,1.0
user_0115,9,0,3,9,1.0
user_0116,9,0,3,9,1.0
user_0117,9,0,3,9,1.0
user_0118,9,0,3,9,1.0
user_0119,9,0,3,9,1.0
user_0120,9,0,3,9,1.0
user_0121,9,0,3,9,1.0
user_0122,9,0,3,9,1.0
user_0123,9,0,3,9,1.0
user_0124,9,0,3,9,1.0
user_0125,9,0,3,9,1.0
user_0126,9,0,3,9,1.0
user_0127,9,0,3,9,1.0
user_0128,9,0,3,9,1.0
user_0129,9,0,3,9,1.0
user_0130,9,0,3,9,1.0
user_0131,9,0,3,9,1.0
user_0132,9,0,3,9,1.0
user_0133,9,0,3,9,1.0
user_0134,9,0,3,9,1.0
user_0135,9,0,3,9,1.0
user_0136,9,0,3,9,1.0
user_0137,9,0,3,9,1.0
user_0138,9,0,3,9,1.0
user_0139,9,0,3,9,1.0
user_0140,9,0,3,9,1.0
user_0141,9,0,3,9,1.0
user_0142,9,0,3,9,1.0
user_0143,9,0,3,9,1.0
user_0144,9,0,3,9,1.0
user_0145,9,0,3,9,1.0
user_0146,9,0,3,9,1.0
user_0147,9,0,3,9,1.0
user_0148,9,0,3,9,1.0
user_0149,9,0,3,9,1.0
user_0150,9,0,3,9,1.0
user_0151,9,0,3,9,1.0
user_0152,9,0,3,9,1.0
user_0153,9,0,3,9,1.0
user_0154,9,0,3,9,1.0
user_0155,9,0,3,9,1.0
user_0156,9,0,3,9,1.0
user_0157,9,0,3,9,1.0
user_0158,9,0,3,9,1.0
user_0159,9,0,3,9,1.0
user_0160,9,0,3,9,1.0
user_0161,9,0,3,9,1.0
user_0162,9,0,3,9,1.0
user_0163,9,0,3,9,1.0
user_0164,9,0,3,9,1.0
user_0165,9,0,3,9,1.0
user_0166,9,0,3,9,1.0
user_0167,9,0,3,9,1.0
user_0168,9,0,3,9,1.0
user_0169,9,0,3,9,1.0
user_0170,9,0,3,9,1.0
user_0171,9,0,3,9,1.0
user_0172,9,0,3,9,1.0
user_0173,9,0,3,9,1.0
user_0174,9,0,3,9,1.0
user_0175,9,0,3,9,1.0
user_0176,9,0,3,9,1.0
user_0177,9,0,3,9,1.0
user_0178,9,0,3,9,1.0
user_0179,9,0,3,9,1.0
user_0180,9,0,3,9,1.0
user_0181,9,0,3,9,1.0
user_0182,9,0,3,9,1.0
user_0183,9,0,3,9,1.0
user_0184,9,0,3,9,1.0
user_0185,9,0,3,9,1.0
user_0186,9,0,3,9,1.0
user_0187,9,0,3,9,1.0
user_0188,9,0,3,9,1.0
user_0189,9,0,3,9,1.0
user_0190,9,0,3,9,1.0
user_0191,9,0,3,9,1.0
user_0192,9,0,3,9,1.0
user_0193,9,0,3,9,1.0
user_0194,9,0,3,9,1.0
user_0195,9,0,3,9,1.0
user_0196,9,0,3,9,1.0
user_0197,9,0,3,9,1.0
user_0198,9,0,3,9,1.0
user_0199,9,0,3,9,1.0
user_0200,9,0,3,9,1.0
user_0201,9,0,3,9,1.0
user_0202,9,0,3,9,1.0
user_0203,9,0,3,9,1.0
user_0204,9,0,3,9,1.0
user_0205,9,0,3,9,1.0
user_0206,9,0,3,9,1.0
user_0207,9,0,3,9,1.0
user_0208,9,0,3,9,1.0
user_0209,9,0,3,9,1.0
user_0210,9,0,3,9,1.0
user_0211,9,0,3,9,1.0
user_0212,9,0,3,9,1.0
user_0213,9,0,3,9,1.0
user_0214,9,0,3,9,1.0
user_0215,9,0,3,9,1.0
user_0216,9,0,3,9,1.0
user_0217,9,0,3,9,1.0
user_0218,9,0,3,9,1.0
user_0219,9,0,3,9,1.0
user_0220,9,0,3,9,1.0
user_0221,9,0,3,9,1.0
user_0222,9,0,3,9,1.0
user_0223,9,0,3,9,1.0
user_0224,9,0,3,9,1.0
user_0225,9,0,3,9,1.0
user_0226,9,0,3,9,1.0
user_0227,9,0,3,9,1.0
user_0228,9,0,3,9,1.0
user_0229,9,0,3,9,1.0
user_0230,9,0,3,9,1.0
user_0231,9,0,3,9,1.0
user_0232,9,0,3,9,1.0
user_0233,9,0,3,9,1.0
user_0234,9,0,3,9,1.0
user_0235,9,0,3,9,1.0
user_0236,9,0,3,9,1.0
user_0237,9,0,3,9,1.0
user_0238,9,0,3,9,1.0
user_0239,9,0,3,9,1.0
user_0240,9,0,3,9,1.0
user_0241,9,0,3,9,1.0
user_0242,9,0,3,9,1.0
user_0243,9,0,3,9,1.0
user_0244,9,0,3,9,1.0
user_0245,9,0,3,9,1.0
user_0246,9,0,3,9,1.0
user_0247,9,0,3,9,1.0
user_0248,9,0,3,9,1.0
user_0249,9,0,3,9,1.0
user_0250,9,0,3,9,1.0
user_0251,9,0,3,9,1.0
user_0252,9,0,3,9,1.0
user_0253,9,0,3,9,1.0
user_0254,9,0,3,9,1.0
user_0255,9,0,3,9,1.0
user_0256,9,0,3,9,1.0
user_0257,9,0,3,9,1.0
user_0258,9,0,3,9,1.0
user_0259,9,0,3,9,1.0
user_0260,9,0,3,9,1.0
user_0261,9,0,3,9,1.0
user_0262,9,0,3,9,1.0
user_0263,9,0,3,9,1.0
user_0264,9,0,3,9,1.0
user_0265,9,0,3,9,1.0
user_0266,9,0,3,9,1.0
user_0267,9,0,3,9,1.0
user_0268,9,0,3,9,1.0
user_0269,9,0,3,9,1.0
user_0270,9,0,3,9,1.0
user_0271,9,0,3,9,1.0
user_0272,9,0,3,9,1.0
user_0273,9,0,3,9,1.0
user_0274,9,0,3,9,1.0
user_0275,9,0,3,9,1.0
user_0276,9,0,3,9,1.0
user_0277,9,0,3,9,1.0
user_0278,9,0,3,9,1.0
user_0279,9,0,3,9,1.0
user_0280,9,0,3,9,1.0
user_0281,9,0,3,9,1.0
user_0282,9,0,3,9,1.0
user_0283,9,0,3,9,1.0
user_0284,9,0,3,9,1.0
user_0285,9,0,3,9,1.0
user_0286,9,0,3,9,1.0
user_0287,9,0,3,9,1.0
user_0288,9,0,3,9,1.0
user_0289,9,0,3,9,1.0
user_0290,9,0,3,9,1.0
user_0291,9,0,3,9,1.0
user_0292,9,0,3,9,1.0
user_0293,9,0,3,9,1.0
user_0294,9,0,3,9,1.0
user_0295,9,0,3,9,1.0
user_0296,9,0,3,9,1.0
user_0297,9,0,3,9,1.0
user_0298,9,0,3,9,1.0
user_0299,9,0,3,9,1.0
user_0300,9,0,3,9,1.0
user_0301,9,0,3,9,1.0
user_0302,9,0,3,9,1.0
user_0303,9,0,3,9,1.0
user_0304,9,0,3,9,1.0
user_0305,9,0,3,9,1.0
user_0306,9,0,3,9,1.0
user_0307,9,0,3,9,1.0
user_0308,9,0,3,9,1.0
user_0309,9,0,3,9,1.0
user_0310,9,0,3,9,1.0
user_0311,9,0,3,9,1.0
user_0312,9,0,3,9,1.0
user_0313,9,0,3,9,1.0
user_0314,9,0,3,9,1.0
user_0315,9,0,3,9,1.0
user_0316,9,0,3,9,1.0
user_0317,9,0,3,9,1.0
user_0318,9,0,3,9,1.0
user_0319,9,0,3,9,1.0
user_0320,9,0,3,9,1.0
user_0321,9,0,3,9,1.0
user_0322,9,0,3,9,1.0
user_0323,9,0,3,9,1.0
user_0324,9,0,3,9,1.0
user_0325,9,0,3,9,1.0
user_0326,9,0,3,9,1.0
user_0327,9,0,3,9,1.0
user_0328,9,0,3,9,1.0
user_0329,9,0,3,9,1.0
user_0330,9,0,3,9,1.0
user_0331,9,0,3,9,1.0
user_0332,9,0,3,9,1.0
user_0333,9,0,3,9,1.0
user_0334,9,0,3,9,1.0
user_0335,9,0,3,9,1.0
user_0336,9,0,3,9,1.0
user_0337,9,0,3,9,1.0
user_0338,9,0,3,9,1.0
user_0339,9,0,3,9,1.0
user_0340,9,0,3,9,1.0
user_0341,9,0,3,9,1.0
user_0342,9,0,3,9,1.0
user_0343,9,0,3,9,1.0
user_0344,9,0,3,9,1.0
user_0345,9,0,3,9,1.0
user_0346,9,0,3,9,1.0
user_0347,9,0,3,9,1.0
user_0348,9,0,3,9,1.0
user_0349,9,0,3,9,1.0
user_0350,9,0,3,9,1.0
user_0351,9,0,3,9,1.0
user_0352,9,0,3,9,1.0
user_0353,9,0,3,9,1.0
user_0354,9,0,3,9,1.0
user_0355,9,0,3,9,1.0
user_0356,9,0,3,9,1.0
user_0357,9,0,3,9,1.0
user_0358,9,0,3,9,1.0
user_0359,9,0,3,9,1.0
user_0360,9,0,3,9,1.0
user_0361,9,0,3,9,1.0
user_0362,9,0,3,9,1.0
user_0363,9,0,3,9,1.0
user_0364,9,0,3,9,1.0
user_0365,9,0,3,9,1.0
user_0366,9,0,3,9,1.0
user_0367,9,0,3,9,1.0
user_0368,9,0,3,9,1.0
user_0369,9,0,3,9,1.0
user_0370,9,0,3,9,1.0
user_0371,9,0,3,9,1.0
user_0372,9,0,3,9,1.0
user_0373,9,0,3,9,1.0
user_0374,9,0,3,9,1.0
user_0375,9,0,3,9,1.0
user_0376,9,0,3,9,1.0
user_0377,9,0,3,9,1.0
user_0378,9,0,3,9,1.0
user_0379,9,0,3,9,1.0
user_0380,9,0,3,9,1.0
user_0381,9,0,3,9,1.0
user_0382,9,0,3,9,1.0
user_0383,9,0,3,9,1.0
user_0384,9,0,3,9,1.0
user_0385,9,0,3,9,1.0
user_0386,9,0,3,9,1.0
user_0387,9,0,3,9,1.0
user_0388,9,0,3,9,1.0
user_0389,9,0,3,9,1.0
user_0390,9,0,3,9,1.0
user_0391,9,0,3,9,1.0
user_0392,9,0,3,9,1.0
user_0393,9,0,3,9,1.0
user_0394,9,0,3,9,1.0
user_0395,9,0,3,9,1.0
user_0396,9,0,3,9,1.0
user_0397,9,0,3,9,1.0
user_0398,9,0,3,9,1.0
user_0399,9,0,3,9,1.0
user_0400,9,0,3,9,1.0
user_0401,9,0,3,9,1.0
user_0402,9,0,3,9,1.0
user_0403,9,0,3,9,1.0
user_0404,9,0,3,9,1.0
user_0405,9,0,3,9,1.0
user_0406,9,0,3,9,1.0
user_0407,9,0,3,9,1.0
user_0408,9,0,3,9,1.0
user_0409,9,0,3,9,1.0
user_0410,9,0,3,9,1.0
user_0411,9,0,3,9,1.0
user_0412,9,0,3,9,1.0
user_0413,9,0,3,9,1.0
user_0414,9,0,3,9,1.0
user_0415,9,0,3,9,1.0
user_0416,9,0,3,9,1.0
user_0417,9,0,3,9,1.0
user_0418,9,0,3,9,1.0
user_0419,9,0,3,9,1.0
user_0420,9,0,3,9,1.0
user_0421,9,0,3,9,1.0
user_0422,9,0,3,9,1.0
user_0423,9,0,3,9,1.0
user_0424,9,0,3,9,1.0
user_0425,9,0,3,9,1.0
user_0426,9,0,3,9,1.0
user_0427,9,0,3,9,1.0
user_0428,9,0,3,9,1.0
user_0429,9,0,3,9,1.0
user_0430,9,0,3,9,1.0
user_0431,9,0,3,9,1.0
user_0432,9,0,3,9,1.0
user_0433,9,0,3,9,1.0
user_0434,9,0,3,9,1.0
user_0435,9,0,3,9,1.0
user_0436,9,0,3,9,1.0
user_0437,9,0,3,9,1.0
user_0438,9,0,3,9,1.0
user_0439,9,0,3,9,1.0
user_0440,9,0,3,9,1.0
user_0441,9,0,3,9,1.0
user_0442,9,0,3,9,1.0
user_0443,9,0,3,9,1.0
user_0444,9,0,3,9,1.0
user_0445,9,0,3,9,1.0
user_0446,9,0,3,9,1.0
user_0447,9,0,3,9,1.0
user_0448,9,0,3,9,1.0
user_0449,9,0,3,9,1.0
user_0450,9,0,3,9,1.0
user_0451,9,0,3,9,1.0
user_0452,9,0,3,9,1.0
user_0453,9,0,3,9,1.0
user_0454,9,0,3,9,1.0
user_0455,9,0,3,9,1.0
user_0456,9,0,3,9,1.0
user_0457,9,0,3,9,1.0
user_0458,9,0,3,9,1.0
user_0459,9,0,3,9,1.0
user_0460,9,0,3,9,1.0
user_0461,9,0,3,9,1.0
user_0462,9,0,3,9,1.0
user_0463,9,0,3,9,1.0
user_0464,9,0,3,9,1.0
user_0465,9,0,3,9,1.0
user_0466,9,0,3,9,1.0
user_0467,9,0,3,9,1.0
user_0468,9,0,3,9,1.0
user_0469,9,0,3,9,1.0
user_0470,9,0,3,9,1.0
user_0471,9,0,3,9,1.0
user_0472,9,0,3,9,1.0
user_0473,9,0,3,9,1.0
user_0474,9,0,3,9,1.0
user_0475,9,0,3,9,1.0
user_0476,9,0,3,9,1.0
user_0477,9,0,3,9,1.0
user_0478,9,0,3,9,1.0
user_0479,9,0,3,9,1.0
user_0480,9,0,3,9,1.0
user_0481,9,0,3,9,1.0
user_0482,9,0,3,9,1.0
user_0483,9,0,3,9,1.0
user_0484,9,0,3,9,1.0
user_0485,9,0,3,9,1.0
user_0486,9,0,3,9,1.0
user_0487,9,0,3,9,1.0
user_0488,9,0,3,9,1.0
user_0489,9,0,3,9,1.0
user_0490,9,0,3,9,1.0
user_0491,9,0,3,9,1.0
user_0492,9,0,3,9,1.0
user_0493,9,0,3,9,1.0
user_0494,9,0,3,9,1.0
user_0495,9,0,3,9,1.0
user_0496,9,0,3,9,1.0
user_0497,9,0,3,9,1.0
user_0498,9,0,3,9,1.0
user_0499,9,0,3,9,1.0
