conversation_id,insight_count,avg_relevance,avg_novelty,avg_mutual_benefit,extraction_quality
conv_0081,4,0.7921220505772313,0.7056135523285374,0.7987701547149086,0.7655019192068924
conv_0082,3,0.7076191060269359,0.6821599311800252,0.8156215759243386,0.7351335377104332
conv_0083,1,0.6784717686876837,0.6843565579785025,0.5824464268361684,0.6484249178341182
conv_0084,3,0.7030685282531742,0.7818279882430804,0.7522298414727994,0.7457087859896846
conv_0085,1,0.8406219116590926,0.9941638898328783,0.8481264954444792,0.8943040989788167
conv_0086,5,0.7797336823527296,0.7789416742178039,0.7749806503004011,0.7778853356236448
conv_0087,5,0.7786848145209981,0.6737994646946671,0.7136619441228955,0.7220487411128537
conv_0089,2,0.8287285823840106,0.6236986777547079,0.7990232972521669,0.7504835191302952
conv_0090,6,0.8474690023583379,0.8010451836016447,0.6873082716645619,0.7786074858748481
conv_0091,1,0.8957074644857972,0.852826343214454,0.8238292550846821,0.8574543542616445
conv_0092,3,0.8189698843690172,0.7384595047982513,0.7410653238647346,0.766164904344001
conv_0093,5,0.753948597777292,0.8924508241911722,0.6075660335306012,0.7513218184996884
conv_0094,3,0.8137738854278845,0.8540651109980515,0.711967857660515,0.7932689513621504
conv_0095,3,0.8489909098542386,0.6540272884279292,0.740987659444838,0.7480019525756686
conv_0096,4,0.8196228556907649,0.7778884742995282,0.7111753964728795,0.769562242154391
conv_0097,7,0.8223945233704714,0.7110112434404917,0.7440324510964684,0.7591460726358106
conv_0098,1,0.8978731625632084,0.564940587390258,0.7974222568876657,0.7534120022803773
conv_0099,4,0.9174510954090883,0.8128214366273196,0.786696025423266,0.8389895191532247
conv_0100,2,0.8827825946098622,0.6740198752635866,0.7579196857353099,0.7715740518695862
conv_0101,5,0.7494895850630094,0.7386406745610573,0.7201220601236304,0.7360841065825657
conv_0102,3,0.817712157277886,0.6176330518605718,0.7496203804362981,0.7283218631915854
conv_0103,5,0.8649441513801467,0.6349542415268989,0.7131289254162684,0.737675772774438
conv_0104,8,0.8718951590618909,0.7148448863756622,0.7110571852408241,0.7659324102261257
conv_0105,6,0.772492989384555,0.7627786849258172,0.8009248094534506,0.7787321612546076
conv_0106,2,0.7713316994161472,0.7742878431273952,0.7731466654960033,0.7729220693465152
conv_0107,4,0.7609021223131593,0.8761135098512505,0.6306239782985014,0.7558798701543038
conv_0108,3,0.7575672044584746,0.6847672791854936,0.7999552521800725,0.7474299119413469
conv_0109,2,0.7736992090848887,0.5700535748800457,0.6863182858616464,0.6766903566088603
conv_0110,3,0.7143638792588721,0.8586435253128251,0.8015212446796086,0.7915095497504353
conv_0111,3,0.8312258822654188,0.8592468096854932,0.7938233608585992,0.828098684269837
conv_0112,3,0.8268145525587968,0.764607235530539,0.7444057414980024,0.7786091765291127
conv_0113,1,0.7450307117244775,0.858507062622923,0.5021662041150983,0.7019013261541662
conv_0114,1,0.9422843556020579,0.7837027939729067,0.6334756906281491,0.786487613401038
conv_0116,1,0.9478661204292949,0.9334290399833219,0.9460492462987831,0.9424481355704666
conv_0118,5,0.7936381996566142,0.7456879298340462,0.6361759013282977,0.7251673436063193
conv_0119,5,0.8042057471175778,0.8566612777567014,0.7996830241621952,0.8201833496788248
conv_0120,3,0.7438834773090363,0.7331213354379112,0.5888517585831364,0.6886188571100279
conv_0121,2,0.8030034068858013,0.7990217512883422,0.7965577817204652,0.7995276466315362
conv_0122,1,0.6903431102935964,0.5567625201890577,0.8172587729025249,0.6881214677950597
conv_0123,4,0.8731811096149285,0.7953050988682564,0.7136130521010704,0.7940330868614184
conv_0124,6,0.8338864802304178,0.7707663695587758,0.6666753282739525,0.7571093926877154
conv_0125,1,0.7417996864262962,0.5296415938907324,0.7533479730905714,0.6749297511358666
conv_0126,3,0.9473155555587934,0.6682421204928408,0.6881100995272121,0.7678892585262821
conv_0128,7,0.8715616449967334,0.7794555942821418,0.7328402895351394,0.7946191762713383
conv_0129,2,0.8479313930774075,0.5857078754055647,0.6603437118539213,0.6979943267789644
conv_0130,3,0.7313668626304146,0.829465947680846,0.7652512854065808,0.7753613652392805
conv_0132,2,0.7222417984025433,0.811915939575077,0.5894806580982457,0.707879465358622
conv_0133,1,0.8920699242774457,0.9579031911984263,0.792270538402658,0.8807478846261766
conv_0134,1,0.9511252710810322,0.7969927851370795,0.6467773589909307,0.7982984717363474
conv_0135,4,0.7671192544558336,0.7784973508293955,0.6848531277126328,0.7434899109992873
conv_0136,1,0.8443968608091761,0.6050899902703047,0.9607781366749301,0.8034216625848036
conv_0137,2,0.7995007180380455,0.7865835922626567,0.9458480942267031,0.8439774681758018
conv_0138,2,0.8378575380696396,0.8554871126887565,0.8758242825774375,0.856389644445278
conv_0139,4,0.7772941621398196,0.8030225856126678,0.8587698473527564,0.8130288650350813
conv_0140,3,0.7999713660265128,0.7667225251845838,0.7115508146656482,0.7594149019589148
conv_0141,6,0.7669827184584174,0.8769371634465654,0.7492325203878375,0.7977174674309401
conv_0142,2,0.7834829306394437,0.715994785412212,0.7541220979108189,0.7511999379874915
conv_0143,4,0.8784218413260328,0.5474479008302076,0.8216785980617658,0.7491827800726688
conv_0144,2,0.8281293840457886,0.8018372879638853,0.7617225944172847,0.7972297554756529
conv_0145,4,0.7612676501472558,0.7679017950568002,0.6393040924625586,0.7228245125555383
conv_0146,6,0.8390184294923949,0.7280214117707969,0.7524866587507261,0.7731755000046393
conv_0147,2,0.9097636783111218,0.73475293856692,0.7282969782884801,0.7909378650555073
conv_0148,3,0.9413818014808744,0.8235959730836785,0.8090795081614188,0.8580190942419906
conv_0149,2,0.7649832188906801,0.6760198136374352,0.7445194710027236,0.7285075011769463
conv_0150,4,0.8649057146012584,0.8498962024220786,0.7490255480651932,0.8212758216961767
conv_0151,6,0.7173047402624207,0.7884837458005408,0.5976680162290594,0.7011521674306737
conv_0152,6,0.8179937281758788,0.7389860342334624,0.7100909553326088,0.7556902392473166
conv_0153,1,0.7656222072425981,0.8968108200835676,0.7612748546303197,0.8079026273188284
conv_0154,1,0.844589456085399,0.5877645206304392,0.9662415043852666,0.7995318270337016
conv_0155,1,0.8732405237443401,0.563124429558513,0.6276433336900736,0.6880027623309757
conv_0156,3,0.8067251025697658,0.690499618225557,0.8047853996863393,0.7673367068272207
conv_0157,2,0.9267227340219145,0.8853317348319261,0.6233663556305999,0.8118069414948135
conv_0158,6,0.7728409498988306,0.6933697600115826,0.800573231538714,0.7555946471497089
conv_0159,6,0.7276870989697047,0.7753770735008128,0.7106424199957947,0.7379021974887707
conv_0160,3,0.8192601104591368,0.6532378246692095,0.7824911632495217,0.7516630327926227
conv_0161,1,0.8178287402531651,0.7900069025827889,0.885765710636502,0.8312004511574852
conv_0162,5,0.8946075481557305,0.8334055100419417,0.6766690780124593,0.8015607120700438
conv_0163,7,0.828176138128848,0.755437019127842,0.768918134645219,0.7841770973006362
conv_0164,5,0.7346305493731802,0.7685959146415287,0.7565479938694416,0.7532581526280501
conv_0165,7,0.8200125519301442,0.7309276609450698,0.6770900950730019,0.742676769316072
conv_0166,2,0.7731656305937289,0.8242544364696939,0.7498481578496116,0.7824227416376782
conv_0167,6,0.8113226675568798,0.6828358933873454,0.650234004970549,0.7147975219715913
conv_0168,4,0.7801074012376307,0.7710296680287438,0.7507408520349302,0.7672926404337682
conv_0169,3,0.7797616344650365,0.6530665338067116,0.7700295811120691,0.7342859164612725
conv_0170,5,0.8616427919205172,0.8563546064245834,0.6979849645046157,0.8053274542832387
conv_0171,3,0.7308673339361378,0.7559574696647835,0.7954969831616142,0.7607739289208452
conv_0172,3,0.6418954506948306,0.588924365296131,0.74963436423457,0.6601513934085105
conv_0173,2,0.7381136979294846,0.6516592650367322,0.6340002115965624,0.674591058187593
conv_0174,6,0.7365619249737057,0.7509219781348725,0.66348472702258,0.7169895433770527
conv_0175,6,0.8170849616640884,0.8039927564345953,0.7226518414429317,0.7812431865138718
conv_0176,3,0.8910540447204666,0.6218436795984604,0.6897958688829009,0.7342311977339427
conv_0177,5,0.8127145629792691,0.7757399922606363,0.6671142898616738,0.7518562817005264
conv_0178,1,0.7840431622958791,0.8117571744523313,0.74502367079308,0.7802746691804301
conv_0179,4,0.8187375971612385,0.7517334552765109,0.7376345493938486,0.7693685339438661
conv_0180,1,0.8952083689678606,0.5153683677228303,0.6856073733717785,0.6987280366874898
conv_0181,5,0.8081074884111121,0.6754623298585931,0.8145961355915879,0.7660553179537644
conv_0182,3,0.8223342739864208,0.6806516098918681,0.7647911619085598,0.7559256819289496
conv_0183,4,0.754934243875859,0.8251796995339465,0.8760345612027219,0.8187161682041758
conv_0184,5,0.8102969959799072,0.8931707947208862,0.743200374395274,0.8155560550320224
conv_0185,2,0.6822623262114975,0.7370211435327317,0.7929291178921292,0.7374041958787861
conv_0186,5,0.7044559307485609,0.7946690776667763,0.7388144466741642,0.7459798183631671
conv_0187,3,0.7592131823717817,0.7688747261982973,0.6309322568989361,0.7196733884896717
conv_0188,3,0.7081469766151128,0.7270563811985976,0.7200491134709143,0.7184174904282082
conv_0189,2,0.8847987334450924,0.8988414781055623,0.8325769628684803,0.8720723914730449
conv_0190,2,0.7504963337072794,0.7909878830993015,0.8276953462929928,0.7897265210331912
conv_0191,4,0.8530827825815996,0.8421890718910294,0.8077542941089988,0.8343420495272094
conv_0192,4,0.6934002528454005,0.7374051303178365,0.7895242270417637,0.7401098700683336
conv_0193,5,0.8690095477391468,0.8057296914020693,0.7424740279479574,0.8057377556963911
conv_0194,2,0.7724086733116138,0.8192218448427988,0.7646541682002436,0.7854282287848854
conv_0195,1,0.8652731718805917,0.7732352378562195,0.5647658397327409,0.7344247498231841
conv_0196,2,0.7760192324569892,0.7086705250796781,0.5550699891309847,0.679919915555884
conv_0197,3,0.6955669293929828,0.8817711102498039,0.8671963141000045,0.8148447845809305
conv_0198,5,0.8733413168927966,0.8697993810113989,0.6664882110618037,0.8032096363219997
conv_0199,6,0.7878615312195189,0.7012074211739944,0.6917880114371271,0.7269523212768801
conv_0200,5,0.8344479609877548,0.8266793444445553,0.6353529123145459,0.7654934059156187
conv_0201,1,0.9592122172714633,0.6968748962100639,0.6765765212888615,0.7775545449234628
conv_0202,1,0.7551279509053075,0.7706196478613081,0.5417566817706577,0.6891680935124245
conv_0203,5,0.8499181307348591,0.7987296487210072,0.7994991782382406,0.8160489858980355
conv_0204,1,0.8924933361272195,0.7540176788246944,0.7919208612560271,0.8128106254026469
conv_0205,4,0.7009122474401773,0.6462603493708695,0.7141853613602034,0.6871193193904167
conv_0206,5,0.7528862783108909,0.7540435065876399,0.7400911449607447,0.7490069766197585
conv_0207,4,0.8131126514905402,0.6955405958012592,0.6759456214611989,0.728199622917666
conv_0208,3,0.808858384625711,0.7168175698456268,0.7340491132123815,0.7532416892279065
conv_0209,3,0.764742565704377,0.7110727837350092,0.73185339297916,0.735889580806182
conv_0210,3,0.7521166085455095,0.8396961205879426,0.6944674194442064,0.7620933828592196
conv_0211,3,0.6984700123624324,0.8494699328836955,0.7114528865128801,0.7531309439196693
conv_0212,5,0.8100433924101503,0.8879539676000043,0.7494278267487796,0.8158083955863114
conv_0213,4,0.7921293379302929,0.7026201567057577,0.8284086673233515,0.7743860539864674
conv_0214,4,0.8211739730357767,0.7063815068634662,0.7674589677298665,0.7650048158763698
conv_0216,2,0.7928898864732812,0.6661233369922615,0.7617068848622147,0.7402400361092525
conv_0217,1,0.7329135068062522,0.7481756589204385,0.8012038297172626,0.760764331814651
conv_0218,7,0.7369308333338777,0.780983016278417,0.744734064554029,0.7542159713887746
conv_0219,3,0.8731476081208154,0.6106898937142762,0.7673998174735952,0.7504124397695623
conv_0220,4,0.8542847953508736,0.6873853844459552,0.7926256809581267,0.7780986202516518
conv_0221,1,0.669615236415363,0.7868668178846795,0.7378229713202502,0.7314350085400975
conv_0222,2,0.8122038865838295,0.8079390626287608,0.8181993698207574,0.812780773011116
conv_0224,3,0.8072403557922257,0.9239291603930787,0.7292843367376337,0.8201512843076461
conv_0225,6,0.8519414930024394,0.7248962267479871,0.7435472225009248,0.7734616474171171
conv_0226,5,0.8047010780541133,0.9103974952427404,0.7203513866419607,0.8118166533129382
conv_0227,2,0.7753574234753553,0.6662462133845118,0.6490059837578708,0.6968698735392461
conv_0228,4,0.9224721681323702,0.6589159118147433,0.7920598253728006,0.7911493017733046
conv_0229,6,0.882380928383343,0.8118286520666146,0.6516261786162971,0.781945253022085
conv_0230,2,0.7714112560422617,0.7441558968902234,0.6731576487980342,0.7295749339101731
conv_0231,3,0.9072965472143455,0.6627925921555863,0.7079681853210017,0.7593524415636446
conv_0232,1,0.6685931894526409,0.5745091435324268,0.7451218973838951,0.6627414101229876
conv_0233,3,0.7038384469590792,0.6703114609611879,0.7233565583311159,0.6991688220837943
conv_0234,2,0.8568190263054671,0.7590786173108092,0.578100066330528,0.731332569982268
conv_0236,5,0.761305651821926,0.7335157262027365,0.7468042789053322,0.7472085523099983
conv_0237,3,0.7878742215244658,0.6505503211582053,0.8880991585930668,0.775507900425246
conv_0238,4,0.7745365729021537,0.6876557836386658,0.8483177083005762,0.7701700216137985
conv_0239,1,0.8985662537445375,0.5238257208285948,0.529912899362416,0.6507682913118494
conv_0240,6,0.7758338156785336,0.6969669980441546,0.7941444196798658,0.7556484111341847
conv_0241,1,0.9533735860696452,0.8430947275045011,0.5597555890042099,0.7854079675261186
conv_0242,1,0.8222057894871959,0.7562864040874188,0.7336387855570901,0.7707103263772349
conv_0243,4,0.7402060379743522,0.6220588004678658,0.6444695291527516,0.6689114558649898
conv_0244,4,0.7700584908550373,0.6382140814752015,0.8171485360403457,0.7418070361235282
conv_0245,9,0.7289471794022037,0.7107718991276097,0.6378977256050029,0.6925389347116054
conv_0246,2,0.6481794848880567,0.8114229410302131,0.6684181118737347,0.7093401792640015
conv_0247,2,0.8202484321904631,0.6477246695963592,0.6515241057283783,0.7064990691717336
conv_0248,2,0.7493660593513265,0.592078319720742,0.7410489857019337,0.6941644549246674
conv_0249,6,0.8396703056842153,0.7489041987617494,0.6916947250134114,0.7600897431531254
conv_0250,1,0.684734796129062,0.5943003410469442,0.8535590245507333,0.7108647205755797
conv_0251,4,0.8892565067350207,0.7890962441020124,0.7518065347272977,0.8100530951881103
conv_0252,3,0.7888514030518339,0.64455145162688,0.8919735671480064,0.7751254739422401
conv_0253,7,0.8060688481127317,0.7351511399793434,0.7936723363908879,0.778297441494321
conv_0254,2,0.8565615438732761,0.6117661542461748,0.7848999587789937,0.7510758856328148
conv_0256,4,0.8152807822896163,0.7525165685149581,0.7862734454553799,0.7846902654199847
conv_0257,4,0.749712148300689,0.6856653448741541,0.7009695616126003,0.7121156849291478
conv_0258,2,0.7795837598618374,0.7272543158722955,0.7354677957230271,0.7474352904857199
conv_0259,5,0.8132021256945714,0.8853627723371366,0.7117486749747929,0.8034378576688336
conv_0260,5,0.8225295308098068,0.7200098689861785,0.8599033883854112,0.8008142627271321
conv_0261,1,0.8520008064478954,0.695904858864968,0.7537146510507445,0.7672067721212027
conv_0262,1,0.8586495469302791,0.7759274634192661,0.651010785780127,0.7618625987098907
conv_0263,5,0.8105200584557071,0.7269793845619662,0.6709835841714055,0.7361610090630263
conv_0265,3,0.8140330497806909,0.9080445855568673,0.8069140784548932,0.8429972379308172
conv_0266,2,0.8152348490080965,0.6021693652900435,0.6515190442675107,0.6896410861885501
conv_0267,5,0.8199921410137069,0.688663436530695,0.6689837435500003,0.725879773698134
conv_0268,6,0.7637631393885685,0.6828823136762097,0.7098813809742142,0.7188422780129975
conv_0269,4,0.7899553393495855,0.6859177094634277,0.8282071348063562,0.7680267278731231
conv_0271,6,0.7837656028166317,0.7347154693031638,0.8133945735557105,0.7772918818918354
conv_0272,6,0.7727073306190765,0.7788370045278952,0.7280522234922336,0.7598655195464018
conv_0273,4,0.8483513191828951,0.6774483356968993,0.7218592938443645,0.7492196495747198
conv_0274,5,0.8321600442026496,0.8012619193726165,0.8149794972716352,0.8161338202823004
conv_0275,1,0.8374039186450133,0.7272875593814234,0.8044156084590603,0.7897023621618323
conv_0276,3,0.6960847557387163,0.8197237682734976,0.6745422466562797,0.7301169235561645
conv_0277,7,0.8110157441141949,0.7462331180268943,0.7270222833496108,0.7614237151635667
conv_0278,4,0.7417191114013622,0.5841189949009422,0.8242623258840331,0.7167001440621125
conv_0279,9,0.8279973222540286,0.7431216700168005,0.7689969907032724,0.7800386609913672
conv_0280,7,0.80710937314748,0.7588673988648545,0.7113231318257762,0.759099967946037
conv_0281,8,0.8921939561426351,0.757239457930563,0.7925472496375094,0.8139935545702359
conv_0282,5,0.7766876556026132,0.8075999949363866,0.6784528295500323,0.754246826696344
conv_0283,1,0.7369971158605941,0.5870517159615933,0.7424514946454708,0.688833442155886
conv_0284,5,0.8199058746671699,0.7812080391600413,0.8342744165345375,0.811796110120583
conv_0285,5,0.8212991765606421,0.7460950099819078,0.8282093631336729,0.7985345165587411
conv_0286,1,0.9393784174792256,0.8402386477606836,0.7256675977856012,0.83509488767517
conv_0287,3,0.8352044972866427,0.7424827124772267,0.7441699256481051,0.7739523784706582
conv_0288,11,0.7672420100135274,0.7239749523293887,0.7326709777211726,0.7412959800213629
conv_0289,3,0.7329146397455281,0.701809354896775,0.8348667302265472,0.7565302416229501
conv_0290,4,0.7485499347855281,0.797775348118199,0.7479258147607234,0.7647503658881502
conv_0291,2,0.7946222937068547,0.8919950347255428,0.7495956409067466,0.8120709897797146
conv_0292,5,0.741117118407306,0.8357026862797777,0.7458456032553096,0.7742218026474644
conv_0293,10,0.7939079442120565,0.7192199845812347,0.8305287419211755,0.7812188902381555
conv_0294,5,0.7912697780486206,0.7642633927209139,0.7405023709924892,0.7653451805873411
conv_0295,2,0.8205398458914475,0.7451321319748807,0.701280684637481,0.7556508875012696
conv_0296,3,0.7727362682247,0.8083014557579666,0.7935170051026189,0.7915182430284284
conv_0297,2,0.8364388364335184,0.8981723286207792,0.7682822052169644,0.8342977900904206
conv_0298,5,0.8273083751408855,0.7131189309769803,0.6026103861462729,0.7143458974213797
conv_0299,2,0.7811249809045149,0.8929998731166187,0.6480804257677198,0.7740684265962844
conv_0300,4,0.9073780982075397,0.7042910050429769,0.8242682041625551,0.811979102471024
conv_0301,8,0.7931827647804005,0.7122127333472251,0.7684060852547452,0.7579338611274569
conv_0302,2,0.673195116238263,0.7403783279512409,0.8994792428178708,0.7710175623357914
conv_0303,3,0.6969594481559369,0.7036714318826499,0.7878501198678608,0.7294936666354825
conv_0304,2,0.7316588690023034,0.674790080955474,0.7285408559246185,0.7116632686274653
conv_0305,1,0.7447215457695988,0.8767625144847256,0.9799092949541427,0.8671311184028223
conv_0307,3,0.7718631930687513,0.7908818497927163,0.7999437424838138,0.7875629284484272
conv_0308,8,0.7134872933254666,0.6574672953237111,0.7804049862786716,0.717119858309283
conv_0309,2,0.7624792455971487,0.8179696633962535,0.7166522014464134,0.7657003701466053
conv_0310,2,0.9242974736174993,0.6699270638468773,0.6916217165103304,0.7619487513249025
conv_0311,1,0.7029105022597472,0.6080403082547032,0.711501895685375,0.6741509020666084
conv_0312,4,0.8410190177315061,0.6254325926017696,0.8994759473400021,0.788642519224426
conv_0313,6,0.7551886025403561,0.6951216717406999,0.7207151909413093,0.7236751550741217
conv_0314,6,0.7829132748791139,0.7551441288586717,0.6967796231955815,0.7449456756444558
conv_0315,6,0.8483582085844356,0.7913938085277491,0.6740264433108676,0.7712594868076841
conv_0316,4,0.7405522374992732,0.9438708091198282,0.7263304593046562,0.8035845019745859
conv_0317,3,0.7695544106779213,0.6424585999576186,0.7529998946787293,0.7216709684380898
conv_0318,2,0.8341017193554296,0.6629659850807699,0.6992101687885912,0.7320926244082635
conv_0319,4,0.8088441317818209,0.8011579545778951,0.6874869771271854,0.7658296878289672
conv_0320,3,0.8318614469679301,0.7455641428647839,0.7267405483184625,0.7680553793837256
conv_0321,5,0.658221465983922,0.7497616710064681,0.8801497421437006,0.7627109597113635
conv_0322,4,0.8450941142438221,0.6686147842196439,0.7704842651353843,0.7613977211996167
conv_0323,3,0.7777862306915022,0.79395912472977,0.7168847981297065,0.7628767178503263
conv_0324,8,0.8685816993221893,0.7377521858455394,0.8200458611745947,0.8087932487807744
conv_0325,3,0.8340644292523498,0.5954627474201791,0.8647474912862716,0.7647582226529335
conv_0326,3,0.710378838348534,0.7319009703485433,0.8873086543197183,0.7765294876722653
conv_0327,1,0.8534056342322611,0.8938100140579693,0.8575412825337541,0.8682523102746615
conv_0328,4,0.707362784701751,0.6994235562533035,0.6819464887638418,0.6962442765729655
conv_0329,4,0.8746541887514997,0.7533223348390261,0.8570068315140409,0.8283277850348556
conv_0330,4,0.8620504846837833,0.8017604432742469,0.6696495593560002,0.7778201624380102
conv_0331,4,0.8477490768768433,0.7432151217543186,0.706455865697541,0.7658066881095676
conv_0332,3,0.8226847229018882,0.6006395095403501,0.6872094125437487,0.703511214995329
conv_0333,6,0.7994635557419382,0.7548542523939227,0.7725917479682584,0.7756365187013731
conv_0334,7,0.7664973014718276,0.7538074857129005,0.7962284314760354,0.7721777395535878
conv_0336,3,0.6662699616123531,0.8148850257234103,0.7443665606672919,0.7418405160010185
conv_0337,4,0.8105830931675054,0.9333408850713836,0.7523515525341304,0.8320918435910065
conv_0338,1,0.8661053284547438,0.5374431108739774,0.7594166898480759,0.7209883763922657
