conversation_id,ground_truth_topic_consistency,calculated_topic_consistency,ground_truth_insight_count,calculated_insight_count,ground_truth_learning_exchanges,calculated_learning_exchanges
conv_0042,0.5022897455685876,0.0,7,7,4,4
conv_0043,0.5754051031160508,0.3333333333333333,1,1,0,0
conv_0044,0.5196369386398259,0.11764705882352941,5,5,4,4
conv_0045,0.8987374591528801,0.3333333333333333,2,2,2,2
conv_0046,0.8874658201540759,0.0625,6,6,1,1
conv_0047,0.6637025960345274,0.1111111111111111,5,5,3,3
conv_0048,0.7023403304707605,0.4,2,2,1,1
conv_0049,0.7529497435257188,0.0,2,2,0,0
conv_0050,0.6862959395029321,0.2,2,2,3,3
conv_0051,0.5996500802461113,0.0,3,3,0,0
conv_0052,0.6990157278763216,0.4,8,8,3,3
conv_0053,0.663324829495312,0.1111111111111111,3,3,2,2
conv_0054,0.6367992619343277,0.18181818181818182,5,5,1,1
conv_0055,0.6384577864460372,0.6,1,1,0,0
conv_0056,0.9758029730385531,0.0,1,1,1,1
conv_0057,0.671800163425621,0.3125,6,6,2,2
conv_0058,0.520450000069955,0.16666666666666666,2,2,2,2
conv_0059,0.9658256214359242,0.0,5,5,0,0
conv_0060,0.5632431241231775,0.25,4,4,4,4
conv_0061,0.6136162140539407,0.2,3,3,2,2
conv_0062,0.8580415469432325,0.2222222222222222,2,2,1,1
conv_0063,0.8267607579569429,0.16666666666666666,5,5,1,1
conv_0064,0.7310679243872293,0.1,5,5,1,1
conv_0065,0.8181059859934291,0.2,1,1,1,1
conv_0066,0.7574432755419651,0.15384615384615385,2,2,3,3
conv_0067,0.5801765839292377,0.17647058823529413,5,5,5,5
conv_0068,0.9077293663679025,0.1111111111111111,5,5,4,4
conv_0069,0.6269125422823947,0.25,2,2,3,3
conv_0070,0.5798310557933231,0.5,2,2,5,5
conv_0071,0.7591585898679787,0.0,3,3,1,1
conv_0072,0.5604619172595082,0.2,4,4,6,6
conv_0073,0.5391169155600051,0.1,0,0,1,1
conv_0074,0.6654008101712643,0.16666666666666666,6,6,4,4
conv_0075,0.7802031953836848,0.16666666666666666,1,1,3,3
conv_0076,0.916805307761116,0.3333333333333333,2,2,3,3
conv_0077,0.7342752674538157,0.0,1,1,0,0
conv_0078,0.8507615033416218,0.0,0,0,2,2
conv_0079,0.5732891527007431,0.15384615384615385,2,2,2,2
conv_0080,0.8517128627143342,0.4,2,2,3,3
conv_0081,0.5182303520619326,0.2,4,4,6,6
conv_0082,0.7825447490143438,0.0,3,3,1,1
conv_0083,0.5971565899150217,0.0,1,1,1,1
conv_0084,0.5419410812774721,0.07142857142857142,3,3,1,1
conv_0085,0.8363982299233049,0.14285714285714285,1,1,1,1
conv_0086,0.5524515687541247,0.17647058823529413,5,5,3,3
conv_0087,0.8902197997097729,0.06666666666666667,5,5,3,3
conv_0088,0.8942363429101859,0.6,0,0,1,1
conv_0089,0.627359921193104,0.3333333333333333,2,2,1,1
conv_0090,0.6898757136285983,0.1111111111111111,6,6,5,5
conv_0091,0.6724524956216114,0.25,1,1,0,0
conv_0092,0.6772244716071719,0.3333333333333333,3,3,2,2
conv_0093,0.6973478127332462,0.42105263157894735,5,5,2,2
conv_0094,0.5326894612493449,0.26666666666666666,3,3,2,2
conv_0095,0.5973329569775321,0.0,3,3,1,1
conv_0096,0.7988618164755482,0.3333333333333333,4,4,3,3
conv_0097,0.5473028359164065,0.1875,7,7,3,3
conv_0098,0.7918424985051788,0.25,1,1,2,2
conv_0099,0.9592277138821614,0.16666666666666666,4,4,1,1
conv_0100,0.6256595478437316,0.3,2,2,4,4
conv_0101,0.7577086215309228,0.125,5,5,5,5
conv_0102,0.8295482060323722,0.38461538461538464,3,3,5,5
conv_0103,0.5661523163802908,0.11764705882352941,5,5,4,4
conv_0104,0.925033400132681,0.25,8,8,2,2
conv_0105,0.819508027792943,0.16666666666666666,6,6,2,2
conv_0106,0.6899405354317496,0.25,2,2,2,2
conv_0107,0.772002433812808,0.16666666666666666,4,4,6,6
conv_0108,0.6688247288904201,0.15384615384615385,3,3,3,3
conv_0109,0.731795701635822,0.0,2,2,3,3
conv_0110,0.8164397313194924,0.13333333333333333,3,3,3,3
conv_0111,0.9449841252861403,0.0,3,3,0,0
conv_0112,0.6461741542515735,0.16666666666666666,3,3,5,5
conv_0113,0.8848170842644405,0.14285714285714285,1,1,0,0
conv_0114,0.8807244365423396,0.15789473684210525,1,1,2,2
conv_0115,0.8011107479860513,0.0,0,0,1,1
conv_0116,0.6069170927842011,0.16666666666666666,1,1,1,1
conv_0117,0.8450022776896926,0.5,0,0,3,3
conv_0118,0.9757879969372381,0.16666666666666666,5,5,2,2
conv_0119,0.7663280193095133,0.125,5,5,1,1
conv_0120,0.9585180051164582,0.1,3,3,2,2
conv_0121,0.7987432727674031,1.0,2,2,1,1
conv_0122,0.6125279120314606,0.0,1,1,1,1
conv_0123,0.672579360294633,0.3,4,4,3,3
conv_0124,0.9328810668400299,0.125,6,6,4,4
conv_0125,0.9188971065739009,0.25,1,1,3,3
conv_0126,0.6073414331700826,0.3333333333333333,3,3,4,4
conv_0127,0.5339904311435453,0.0,0,0,4,4
conv_0128,0.5371885410419506,0.23529411764705882,7,7,5,5
conv_0129,0.5126197862884916,0.0,2,2,2,2
conv_0130,0.5997681476178034,0.2777777777777778,3,3,5,5
conv_0131,0.7692671800045737,0.2727272727272727,0,0,3,3
conv_0132,0.9400271451797321,0.25,2,2,0,0
conv_0133,0.705448650546868,0.6,1,1,3,3
conv_0134,0.7796205710952411,0.42857142857142855,1,1,2,2
conv_0135,0.8496798086918478,0.07142857142857142,4,4,4,4
conv_0136,0.6104192337711053,0.2222222222222222,1,1,3,3
conv_0137,0.9909993121753586,0.0,2,2,1,1
conv_0138,0.7067391183412544,0.23076923076923078,2,2,3,3
conv_0139,0.5803874004999197,0.13333333333333333,4,4,4,4
conv_0140,0.6722780818494068,0.0,3,3,3,3
conv_0141,0.5765799426021213,0.1,6,6,1,1
conv_0142,0.6279609091114866,0.26666666666666666,2,2,3,3
conv_0143,0.7459029399442116,0.09090909090909091,4,4,2,2
conv_0144,0.7032607401070121,0.0,2,2,1,1
conv_0145,0.5123963657733156,0.0,4,4,1,1
conv_0146,0.9921351616186855,0.058823529411764705,6,6,1,1
conv_0147,0.6958132498945604,0.18181818181818182,2,2,1,1
conv_0148,0.6112883495656133,0.0,3,3,0,0
conv_0149,0.7444904962983683,0.0,2,2,1,1
conv_0150,0.5298947222538746,0.0,4,4,1,1
conv_0151,0.6977601517648442,0.1111111111111111,6,6,0,0
conv_0152,0.8630339266689866,0.35714285714285715,6,6,1,1
conv_0153,0.7268261862176317,0.75,1,1,0,0
conv_0154,0.6237923044367503,0.3,1,1,4,4
conv_0155,0.8128645013792531,0.0,1,1,2,2
conv_0156,0.5089271297572098,0.3333333333333333,3,3,2,2
conv_0157,0.990016882223435,0.0,2,2,1,1
conv_0158,0.7807200626572648,0.3157894736842105,6,6,7,7
conv_0159,0.9098278742336234,0.29411764705882354,6,6,4,4
conv_0160,0.6317192795408786,0.0,3,3,4,4
conv_0161,0.9966301738597126,0.11764705882352941,1,1,2,2
conv_0162,0.77957141953625,0.10526315789473684,5,5,3,3
conv_0163,0.665482861271085,0.17647058823529413,7,7,1,1
conv_0164,0.668738358387068,0.07692307692307693,5,5,3,3
conv_0165,0.6837430770047899,0.07142857142857142,7,7,1,1
conv_0166,0.5076717517250224,0.2857142857142857,2,2,2,2
conv_0167,0.7760633254934243,0.2777777777777778,6,6,1,1
conv_0168,0.5928706637798402,0.07142857142857142,4,4,2,2
conv_0169,0.6054206985637685,0.0,3,3,3,3
conv_0170,0.6803147129613024,0.06666666666666667,5,5,2,2
conv_0171,0.9942651937630608,0.2,3,3,1,1
conv_0172,0.8800533734697003,0.0,3,3,0,0
conv_0173,0.5328706627598281,0.16666666666666666,2,2,2,2
conv_0174,0.8498329447639945,0.21052631578947367,6,6,4,4
conv_0175,0.6516274414696228,0.058823529411764705,6,6,4,4
conv_0176,0.7215468774878688,0.07692307692307693,3,3,2,2
conv_0177,0.9491736404102384,0.15384615384615385,5,5,4,4
conv_0178,0.7360164420667676,0.36363636363636365,1,1,3,3
conv_0179,0.9097263488108471,0.14285714285714285,4,4,0,0
conv_0180,0.5667420126573453,0.8,1,1,1,1
conv_0181,0.9961575749237144,0.3,5,5,2,2
conv_0182,0.5598778884886415,0.0625,3,3,4,4
conv_0183,0.9306856036885923,0.25,4,4,0,0
conv_0184,0.811718762467048,0.23076923076923078,5,5,2,2
conv_0185,0.5203494331901993,0.3076923076923077,2,2,8,8
conv_0186,0.6977081703053023,0.08333333333333333,5,5,4,4
conv_0187,0.5597401180594551,0.25,3,3,0,0
conv_0188,0.9896517490286709,0.0,3,3,1,1
conv_0189,0.9803154165709771,0.2857142857142857,2,2,2,2
conv_0190,0.5552306245856242,0.15384615384615385,2,2,4,4
conv_0191,0.9900610314394616,0.14285714285714285,4,4,0,0
conv_0192,0.6279943507402419,0.0,4,4,1,1
conv_0193,0.7633121919056902,0.10526315789473684,5,5,5,5
conv_0194,0.9356054903500146,0.0625,2,2,5,5
conv_0195,0.5096960716655339,0.0,1,1,0,0
conv_0196,0.7087798874152607,0.25,2,2,1,1
conv_0197,0.7853960946518672,0.23529411764705882,3,3,4,4
conv_0198,0.6545247595934935,0.2222222222222222,5,5,2,2
conv_0199,0.7472458097017762,0.13333333333333333,6,6,2,2
conv_0200,0.8011033138930537,0.3076923076923077,5,5,5,5
conv_0201,0.5855196221559567,0.2,1,1,1,1
conv_0202,0.5709161638215614,0.1,1,1,0,0
conv_0203,0.763059517860005,0.0,5,5,1,1
conv_0204,0.8000005787659754,0.2,1,1,1,1
conv_0205,0.7905894646248603,0.17647058823529413,4,4,5,5
conv_0206,0.7745936522508721,0.2727272727272727,5,5,4,4
conv_0207,0.9235614560814562,0.23076923076923078,4,4,3,3
conv_0208,0.7988597369926983,0.0,3,3,2,2
conv_0209,0.5962112602879541,0.2857142857142857,3,3,3,3
conv_0210,0.7527493825882088,0.23076923076923078,3,3,1,1
conv_0211,0.6712481168753602,0.3333333333333333,3,3,1,1
conv_0212,0.7067866283069975,0.11764705882352941,5,5,5,5
conv_0213,0.5272458807118567,0.07692307692307693,4,4,1,1
conv_0214,0.6304090150360838,0.16666666666666666,4,4,0,0
conv_0215,0.8193745656302078,0.2857142857142857,0,0,3,3
conv_0216,0.6272876729817698,0.42857142857142855,2,2,2,2
conv_0217,0.594335878353512,0.0,1,1,1,1
conv_0218,0.5533948743229522,0.21428571428571427,7,7,2,2
conv_0219,0.829432841090999,0.14285714285714285,3,3,1,1
conv_0220,0.6045717141969251,0.15384615384615385,4,4,2,2
conv_0221,0.5679378634361683,0.0,1,1,1,1
conv_0222,0.5188041385196243,0.1111111111111111,2,2,0,0
conv_0223,0.962960925977898,0.0,0,0,0,0
conv_0224,0.5872181142729533,0.13333333333333333,3,3,1,1
conv_0225,0.6560164039650417,0.07142857142857142,6,6,2,2
conv_0226,0.6057254231849725,0.16666666666666666,5,5,2,2
conv_0227,0.616910897780417,0.0,2,2,1,1
conv_0228,0.6109284030885169,0.09090909090909091,4,4,3,3
conv_0229,0.9911281875996398,0.15384615384615385,6,6,2,2
conv_0230,0.7204105628818852,0.0,2,2,3,3
conv_0231,0.9894159108786006,0.2222222222222222,3,3,2,2
conv_0232,0.6561590001268993,0.2,1,1,3,3
conv_0233,0.6138406257780024,0.3333333333333333,3,3,3,3
conv_0234,0.5867750183023128,0.25,2,2,2,2
conv_0235,0.7426966737774885,0.16666666666666666,0,0,1,1
conv_0236,0.5906610258913535,0.2,5,5,4,4
conv_0237,0.6483735570369145,0.2,3,3,0,0
conv_0238,0.9910871404702476,0.1111111111111111,4,4,2,2
conv_0239,0.6048212505336442,0.16666666666666666,1,1,2,2
conv_0240,0.9036681909178905,0.21052631578947367,6,6,4,4
conv_0241,0.612920726472497,0.0,1,1,3,3
conv_0242,0.8765919481697675,0.25,1,1,0,0
conv_0243,0.5561971514133763,0.0,4,4,2,2
conv_0244,0.78768011191933,0.45454545454545453,4,4,4,4
conv_0245,0.8849856198708855,0.07692307692307693,9,9,4,4
conv_0246,0.7995476185391672,0.25,2,2,2,2
conv_0247,0.9608852637834527,0.125,2,2,1,1
conv_0248,0.634658879114905,0.0,2,2,1,1
conv_0249,0.966826467222826,0.15789473684210525,6,6,5,5
conv_0250,0.5519070204535612,0.16666666666666666,1,1,0,0
conv_0251,0.9308793183270497,0.375,4,4,2,2
conv_0252,0.8454723307395635,0.15384615384615385,3,3,2,2
conv_0253,0.9719639380902518,0.1875,7,7,3,3
conv_0254,0.8577040465098591,0.08333333333333333,2,2,4,4
conv_0255,0.5381468985737358,0.25,0,0,1,1
conv_0256,0.5446089708030124,0.1111111111111111,4,4,4,4
conv_0257,0.7979779630159529,0.3333333333333333,4,4,6,6
conv_0258,0.5373380683578441,0.2,2,2,4,4
conv_0259,0.6560203621691039,0.2222222222222222,5,5,4,4
conv_0260,0.863767010325691,0.25,5,5,4,4
conv_0261,0.7715004353896107,0.14285714285714285,1,1,5,5
conv_0262,0.6928433900746527,0.3333333333333333,1,1,2,2
conv_0263,0.7422378311090783,0.11764705882352941,5,5,2,2
conv_0264,0.9554452631592081,0.375,0,0,4,4
conv_0265,0.6733811564777208,0.07142857142857142,3,3,3,3
conv_0266,0.6052335830057615,0.16666666666666666,2,2,1,1
conv_0267,0.77297846105764,0.2857142857142857,5,5,3,3
conv_0268,0.8736688660569283,0.3333333333333333,6,6,5,5
conv_0269,0.596123504133552,0.3333333333333333,4,4,0,0
conv_0270,0.8170639386609155,0.0,0,0,1,1
conv_0271,0.9819502197807464,0.0625,6,6,4,4
conv_0272,0.835556119751959,0.0625,6,6,6,6
conv_0273,0.8025087914222977,0.1,4,4,5,5
conv_0274,0.7894960958300044,0.0,5,5,1,1
conv_0275,0.5825501170502545,0.25,1,1,1,1
conv_0276,0.9600702791815369,0.2857142857142857,3,3,2,2
conv_0277,0.8264568414782267,0.2631578947368421,7,7,6,6
conv_0278,0.8329108598012895,0.3,4,4,3,3
conv_0279,0.8374596048965041,0.25,9,9,0,0
conv_0280,0.7470265969076728,0.1875,7,7,2,2
conv_0281,0.5593710538218297,0.17647058823529413,8,8,2,2
conv_0282,0.7349423784111369,0.2727272727272727,5,5,2,2
conv_0283,0.5990201650329465,0.5,1,1,0,0
conv_0284,0.8610919437435297,0.14285714285714285,5,5,5,5
conv_0285,0.8403370630027267,0.125,5,5,0,0
conv_0286,0.6352820771613508,0.0,1,1,2,2
conv_0287,0.8300630018839514,0.0,3,3,3,3
conv_0288,0.8235579798013223,0.10526315789473684,11,11,7,7
conv_0289,0.958368284121834,0.25,3,3,1,1
conv_0290,0.5933067090810296,0.21428571428571427,4,4,2,2
conv_0291,0.5865404370369947,0.0,2,2,1,1
conv_0292,0.6462698162138176,0.2,5,5,3,3
conv_0293,0.5491142587974658,0.1875,10,10,6,6
conv_0294,0.9757552272567924,0.3333333333333333,5,5,2,2
conv_0295,0.9770541603050344,0.5,2,2,0,0
conv_0296,0.9099241451923551,0.0,3,3,4,4
conv_0297,0.8156938545489043,0.16666666666666666,2,2,2,2
conv_0298,0.5051563521705922,0.1875,5,5,3,3
conv_0299,0.801967381598246,0.4,2,2,2,2
conv_0300,0.8336911713503871,0.23529411764705882,4,4,2,2
conv_0301,0.7433078021183839,0.14285714285714285,8,8,1,1
conv_0302,0.6417658718978304,0.05555555555555555,2,2,2,2
conv_0303,0.5987717322800077,0.0,3,3,0,0
conv_0304,0.8582507900742032,0.14285714285714285,2,2,1,1
conv_0305,0.9914404579502716,0.5,1,1,1,1
conv_0306,0.8415901678634679,0.25,0,0,1,1
conv_0307,0.8146099230766268,0.29411764705882354,3,3,3,3
conv_0308,0.7560365153368038,0.2857142857142857,8,8,4,4
conv_0309,0.7536576626637765,0.125,2,2,0,0
conv_0310,0.7493452490259094,0.3333333333333333,2,2,2,2
conv_0311,0.7860525769726725,0.14285714285714285,1,1,2,2
conv_0312,0.543561284068389,0.15384615384615385,4,4,2,2
conv_0313,0.7873543445745289,0.2,6,6,2,2
conv_0314,0.8596394896174469,0.25,6,6,2,2
conv_0315,0.7573069524200206,0.17647058823529413,6,6,3,3
conv_0316,0.9620139124400477,0.25,4,4,4,4
conv_0317,0.7022559894330982,0.16666666666666666,3,3,3,3
conv_0318,0.6765054699790618,0.15384615384615385,2,2,4,4
conv_0319,0.5788522050112317,0.125,4,4,3,3
conv_0320,0.6560014938743803,0.3333333333333333,3,3,3,3
conv_0321,0.5897447957856892,0.25,5,5,2,2
conv_0322,0.7601797259361278,0.125,4,4,1,1
conv_0323,0.6931575685191608,0.0,3,3,2,2
conv_0324,0.562707852438767,0.15789473684210525,8,8,3,3
conv_0325,0.8485347737713249,0.16666666666666666,3,3,5,5
conv_0326,0.7703106423253138,0.125,3,3,4,4
conv_0327,0.9622583459713254,0.0,1,1,1,1
conv_0328,0.8557130030353765,0.0,4,4,1,1
conv_0329,0.9019543881127301,0.23076923076923078,4,4,3,3
conv_0330,0.6215144616948011,0.0,4,4,1,1
conv_0331,0.9914363635201797,0.23076923076923078,4,4,2,2
conv_0332,0.9268419229510432,0.125,3,3,1,1
conv_0333,0.5001183887606431,0.1111111111111111,6,6,3,3
conv_0334,0.5113799252837447,0.35714285714285715,7,7,1,1
conv_0335,0.8733736918790423,0.4,0,0,2,2
conv_0336,0.608678365717165,0.1111111111111111,3,3,6,6
conv_0337,0.7843307688912298,0.058823529411764705,4,4,3,3
conv_0338,0.9311052926499994,0.3333333333333333,1,1,2,2
conv_0339,0.8517097883965641,0.0,4,4,3,3
conv_0340,0.5827249107358201,0.125,4,4,5,5
conv_0341,0.8093441318710729,0.16666666666666666,9,9,1,1
conv_0342,0.8924609816685153,0.26666666666666666,6,6,3,3
conv_0343,0.9148830456296845,0.0,2,2,2,2
conv_0344,0.7144898738227402,0.23076923076923078,5,5,4,4
conv_0345,0.8524794160878479,0.26666666666666666,3,3,3,3
conv_0346,0.6700052787206355,0.3,1,1,7,7
conv_0347,0.7002675826049052,0.0,5,5,3,3
conv_0348,0.510297160895324,0.23076923076923078,5,5,4,4
conv_0349,0.5097075654223782,0.0,1,1,1,1
conv_0350,0.5497218356466979,0.4117647058823529,4,4,5,5
conv_0351,0.9238798310752446,0.13333333333333333,6,6,4,4
conv_0352,0.5222898521695307,0.25,4,4,1,1
conv_0353,0.8746298186626263,0.21052631578947367,6,6,5,5
conv_0354,0.7662945912825593,0.2,1,1,4,4
conv_0355,0.99053462985578,0.375,3,3,6,6
conv_0356,0.535481769062405,0.0,5,5,2,2
conv_0357,0.6549142732944807,0.09090909090909091,5,5,1,1
conv_0358,0.761869480881787,0.2,1,1,3,3
conv_0359,0.8573384253739492,0.21052631578947367,8,8,5,5
conv_0360,0.7744479475412207,0.4,2,2,2,2
conv_0361,0.7765780722380644,0.2,1,1,1,1
conv_0362,0.5309411456642763,0.07142857142857142,2,2,3,3
conv_0363,0.6506657342956483,0.0,2,2,1,1
conv_0364,0.7062382925942428,0.09090909090909091,4,4,2,2
conv_0365,0.691954533596832,0.15384615384615385,3,3,2,2
conv_0366,0.9437929643786176,0.3333333333333333,2,2,1,1
conv_0367,0.6129632870489097,0.16666666666666666,4,4,2,2
conv_0368,0.8080031505638282,0.1111111111111111,1,1,3,3
conv_0369,0.8785037904425559,0.21052631578947367,7,7,3,3
conv_0370,0.8094282299361205,0.0,2,2,3,3
conv_0371,0.8123156915747297,0.25,1,1,1,1
conv_0372,0.7583602582603854,0.2222222222222222,3,3,0,0
conv_0373,0.6179203307302383,0.4,5,5,4,4
conv_0374,0.9764358748573447,0.08333333333333333,3,3,4,4
conv_0375,0.6360490864899424,0.3076923076923077,4,4,1,1
conv_0376,0.7146223880369137,0.1111111111111111,2,2,2,2
conv_0377,0.5193649603779411,0.25,2,2,4,4
conv_0378,0.9951185945518839,0.25,2,2,2,2
conv_0379,0.6927194678134037,0.375,5,5,1,1
conv_0380,0.5763587859033488,0.14285714285714285,2,2,3,3
conv_0381,0.5075883950373157,0.125,3,3,0,0
conv_0382,0.7491111771409219,0.0,3,3,0,0
conv_0383,0.8578504013543018,0.0,2,2,2,2
conv_0384,0.6425409981739445,0.25,1,1,5,5
conv_0385,0.6454817581865111,0.4,1,1,1,1
conv_0386,0.7473924471762159,0.125,4,4,5,5
conv_0387,0.5286618218483136,0.23076923076923078,4,4,8,8
conv_0388,0.5202833871220576,0.0,4,4,1,1
conv_0389,0.9323456248032669,0.05555555555555555,4,4,4,4
conv_0390,0.900688020541114,0.2,9,9,5,5
conv_0391,0.6170537163876862,0.2727272727272727,9,9,2,2
conv_0392,0.5309489812656019,0.2,1,1,0,0
conv_0393,0.5425891138012596,0.0,1,1,1,1
conv_0394,0.5848229601414301,0.3333333333333333,5,5,3,3
conv_0395,0.8116946740107849,0.0625,4,4,1,1
conv_0396,0.6695627319456655,0.14285714285714285,5,5,5,5
conv_0397,0.730884929090067,0.25,4,4,1,1
conv_0398,0.9195163179070027,0.38461538461538464,4,4,2,2
conv_0399,0.531917138972309,0.4,2,2,4,4
conv_0400,0.6258816273495746,0.2,1,1,3,3
conv_0401,0.5452331100466001,0.2,5,5,1,1
conv_0402,0.760278805526863,0.3333333333333333,5,5,6,6
conv_0403,0.7312243339528166,0.10526315789473684,8,8,2,2
conv_0404,0.9502455722548768,0.25,3,3,1,1
conv_0405,0.5296571206477237,0.07142857142857142,5,5,5,5
conv_0406,0.6899612901872032,0.15384615384615385,5,5,3,3
conv_0407,0.8963889561154056,0.15384615384615385,5,5,7,7
conv_0408,0.6836862219363027,0.10526315789473684,4,4,6,6
conv_0409,0.9866412393109742,0.15789473684210525,6,6,0,0
conv_0410,0.7062462351488192,0.0,3,3,1,1
conv_0411,0.984852100553667,0.5,1,1,1,1
conv_0412,0.5136368958842155,0.23529411764705882,4,4,2,2
conv_0413,0.743097226977659,0.3076923076923077,3,3,3,3
conv_0414,0.7982254905887161,0.05263157894736842,9,9,8,8
conv_0415,0.6259669977763902,0.0,5,5,2,2
conv_0416,0.9062570503414009,0.125,3,3,4,4
conv_0417,0.9263275696796567,0.375,2,2,3,3
conv_0418,0.671968592669553,0.07692307692307693,4,4,2,2
conv_0419,0.8674832500775522,0.1111111111111111,4,4,1,1
conv_0420,0.8504739600685437,0.14285714285714285,2,2,0,0
conv_0421,0.9050755040657168,0.14285714285714285,2,2,3,3
conv_0422,0.5235184936061199,0.0625,3,3,1,1
conv_0423,0.9133622409961976,0.1,3,3,2,2
conv_0424,0.670586199539779,0.2222222222222222,4,4,1,1
conv_0425,0.7779235638108304,0.1111111111111111,3,3,1,1
conv_0426,0.9453800417500098,0.0,4,4,0,0
conv_0427,0.6808191772401337,0.25,4,4,2,2
conv_0428,0.5592546100405853,0.0,4,4,3,3
conv_0429,0.9121070360099146,0.2,3,3,2,2
conv_0430,0.8063482300221044,0.0,2,2,3,3
conv_0431,0.7286789685263859,0.0625,8,8,3,3
conv_0432,0.9823388202577175,0.16666666666666666,2,2,3,3
conv_0433,0.9593200501621624,0.0,3,3,1,1
conv_0434,0.795269081646705,0.2,1,1,0,0
conv_0435,0.8986510625580802,0.0,4,4,2,2
conv_0436,0.8266538538277445,0.18181818181818182,3,3,0,0
conv_0437,0.5719327465850592,0.14285714285714285,3,3,2,2
conv_0438,0.5670422802668722,0.25,2,2,1,1
conv_0439,0.6256995475349285,0.16666666666666666,3,3,0,0
conv_0440,0.7356126910567762,0.125,2,2,1,1
conv_0441,0.5999064679585235,0.13333333333333333,6,6,3,3
conv_0442,0.768417351423812,0.2,3,3,3,3
conv_0443,0.8505538426792567,0.0,1,1,3,3
conv_0444,0.7716978851317233,0.0,3,3,1,1
conv_0445,0.8131357469738427,0.3157894736842105,6,6,4,4
conv_0446,0.8417729964337773,0.2,2,2,1,1
conv_0447,0.9721091695670777,0.05263157894736842,6,6,8,8
conv_0448,0.9126758211210927,0.16666666666666666,6,6,0,0
conv_0449,0.539531041259076,0.25,2,2,2,2
conv_0450,0.6681985448036296,0.21052631578947367,8,8,3,3
conv_0451,0.7493205336149263,0.25,3,3,2,2
conv_0452,0.5561748539982532,0.14285714285714285,1,1,2,2
conv_0453,0.5814722931437837,0.15789473684210525,6,6,5,5
conv_0454,0.5421348147155918,0.07142857142857142,5,5,6,6
conv_0455,0.8760779162450789,0.25,6,6,4,4
conv_0456,0.8539440376876106,0.06666666666666667,4,4,1,1
conv_0457,0.8303893284967319,0.0,2,2,1,1
conv_0458,0.8100930903836417,0.23076923076923078,6,6,2,2
conv_0459,0.7708223491595061,0.06666666666666667,6,6,3,3
conv_0460,0.8804042031779785,0.125,4,4,0,0
conv_0461,0.6768792954849044,0.0,1,1,1,1
conv_0462,0.8733272122953748,0.13333333333333333,5,5,5,5
conv_0463,0.5140099477534235,0.07142857142857142,4,4,0,0
conv_0464,0.5772224727488787,0.2,3,3,0,0
conv_0465,0.8415881734182987,0.42857142857142855,3,3,1,1
conv_0466,0.7030591116463845,0.10526315789473684,8,8,4,4
conv_0467,0.6770399647540628,0.15384615384615385,7,7,4,4
conv_0468,0.560000917755562,0.0,5,5,3,3
