user_id,tier1_interactions,tier2_interactions,tier3_interactions,total_interactions,tier1_rate,tier2_rate,tier3_rate,adaptive_weight_tier1,adaptive_weight_tier2,adaptive_weight_tier3
user_0046,15,13,19,47,0.3191489361702128,0.2765957446808511,0.40425531914893614,0.3191489361702128,0.2765957446808511,0.40425531914893614
user_0047,23,14,4,41,0.5609756097560976,0.34146341463414637,0.0975609756097561,0.5609756097560975,0.3414634146341463,0.09756097560975607
user_0048,28,19,1,48,0.5833333333333334,0.3958333333333333,0.020833333333333332,0.5833333333333334,0.3958333333333333,0.020833333333333332
user_0049,42,29,16,87,0.4827586206896552,0.3333333333333333,0.1839080459770115,0.4827586206896552,0.3333333333333333,0.1839080459770115
user_0050,49,6,6,61,0.8032786885245902,0.09836065573770492,0.09836065573770492,0.8032786885245902,0.09836065573770492,0.09836065573770492
user_0051,46,10,1,57,0.8070175438596491,0.17543859649122806,0.017543859649122806,0.8070175438596491,0.17543859649122806,0.017543859649122806
user_0052,36,0,4,40,0.9,0.0,0.1,0.9,0.0,0.1
user_0053,21,27,8,56,0.375,0.48214285714285715,0.14285714285714285,0.375,0.48214285714285715,0.14285714285714285
user_0054,11,11,14,36,0.3055555555555556,0.3055555555555556,0.3888888888888889,0.3055555555555556,0.3055555555555556,0.3888888888888889
user_0055,12,28,20,60,0.2,0.4666666666666667,0.3333333333333333,0.2,0.4666666666666667,0.3333333333333333
user_0056,3,12,12,27,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.1111111111111111,0.4444444444444444,0.4444444444444444
user_0057,9,30,9,48,0.1875,0.625,0.1875,0.1875,0.625,0.1875
user_0058,32,2,7,41,0.7804878048780488,0.04878048780487805,0.17073170731707318,0.7804878048780488,0.04878048780487805,0.17073170731707318
user_0059,11,20,6,37,0.2972972972972973,0.5405405405405406,0.16216216216216217,0.2972972972972973,0.5405405405405406,0.16216216216216217
user_0060,21,21,14,56,0.375,0.375,0.25,0.375,0.375,0.25
user_0061,1,27,14,42,0.023809523809523808,0.6428571428571429,0.3333333333333333,0.023809523809523808,0.6428571428571429,0.3333333333333333
user_0062,4,26,7,37,0.10810810810810811,0.7027027027027027,0.1891891891891892,0.10810810810810811,0.7027027027027027,0.1891891891891892
user_0063,38,16,9,63,0.6031746031746031,0.25396825396825395,0.14285714285714285,0.6031746031746031,0.25396825396825395,0.14285714285714285
user_0064,35,5,4,44,0.7954545454545454,0.11363636363636363,0.09090909090909091,0.7954545454545454,0.11363636363636363,0.09090909090909091
user_0065,35,30,10,75,0.4666666666666667,0.4,0.13333333333333333,0.4666666666666667,0.4,0.13333333333333333
user_0066,3,3,2,8,0.375,0.375,0.25,0.375,0.375,0.25
user_0067,26,16,17,59,0.4406779661016949,0.2711864406779661,0.288135593220339,0.4406779661016949,0.2711864406779661,0.288135593220339
user_0068,1,19,5,25,0.04,0.76,0.2,0.04,0.76,0.2
user_0069,46,29,10,85,0.5411764705882353,0.3411764705882353,0.11764705882352941,0.5411764705882353,0.3411764705882353,0.11764705882352941
user_0070,23,1,4,28,0.8214285714285714,0.03571428571428571,0.14285714285714285,0.8214285714285714,0.03571428571428571,0.14285714285714285
user_0071,6,21,7,34,0.17647058823529413,0.6176470588235294,0.20588235294117646,0.17647058823529413,0.6176470588235294,0.20588235294117646
user_0072,0,12,0,12,0.0,1.0,0.0,0.0,1.0,0.0
user_0073,36,1,12,49,0.7346938775510204,0.02040816326530612,0.24489795918367346,0.7346938775510204,0.02040816326530612,0.24489795918367346
user_0074,49,18,3,70,0.7,0.2571428571428571,0.04285714285714286,0.7000000000000001,0.2571428571428572,0.042857142857142864
user_0075,14,24,20,58,0.2413793103448276,0.41379310344827586,0.3448275862068966,0.2413793103448276,0.41379310344827586,0.3448275862068966
user_0076,2,18,17,37,0.05405405405405406,0.4864864864864865,0.4594594594594595,0.05405405405405406,0.4864864864864865,0.4594594594594595
user_0077,4,0,20,24,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334
user_0078,30,29,18,77,0.38961038961038963,0.37662337662337664,0.23376623376623376,0.38961038961038963,0.37662337662337664,0.23376623376623376
user_0079,41,12,9,62,0.6612903225806451,0.1935483870967742,0.14516129032258066,0.6612903225806452,0.19354838709677422,0.14516129032258068
user_0080,43,19,12,74,0.581081081081081,0.25675675675675674,0.16216216216216217,0.5810810810810811,0.2567567567567568,0.1621621621621622
user_0081,28,29,7,64,0.4375,0.453125,0.109375,0.4375,0.453125,0.109375
user_0082,43,15,19,77,0.5584415584415584,0.19480519480519481,0.24675324675324675,0.5584415584415584,0.19480519480519481,0.24675324675324675
user_0083,16,11,20,47,0.3404255319148936,0.23404255319148937,0.425531914893617,0.3404255319148936,0.23404255319148937,0.425531914893617
user_0084,29,15,4,48,0.6041666666666666,0.3125,0.08333333333333333,0.6041666666666666,0.3125,0.08333333333333333
user_0085,29,17,11,57,0.5087719298245614,0.2982456140350877,0.19298245614035087,0.5087719298245614,0.2982456140350877,0.19298245614035087
user_0086,14,4,9,27,0.5185185185185185,0.14814814814814814,0.3333333333333333,0.5185185185185185,0.14814814814814814,0.3333333333333333
user_0087,40,23,5,68,0.5882352941176471,0.3382352941176471,0.07352941176470588,0.5882352941176471,0.3382352941176471,0.07352941176470588
user_0088,24,8,5,37,0.6486486486486487,0.21621621621621623,0.13513513513513514,0.6486486486486487,0.21621621621621623,0.13513513513513514
user_0089,23,23,0,46,0.5,0.5,0.0,0.5,0.5,0.0
user_0090,27,25,9,61,0.4426229508196721,0.4098360655737705,0.14754098360655737,0.4426229508196721,0.4098360655737705,0.14754098360655737
user_0091,9,1,14,24,0.375,0.041666666666666664,0.5833333333333334,0.375,0.041666666666666664,0.5833333333333334
user_0092,26,22,17,65,0.4,0.3384615384615385,0.26153846153846155,0.4,0.3384615384615385,0.26153846153846155
user_0093,14,12,4,30,0.4666666666666667,0.4,0.13333333333333333,0.4666666666666667,0.4,0.13333333333333333
user_0094,40,11,6,57,0.7017543859649122,0.19298245614035087,0.10526315789473684,0.7017543859649124,0.1929824561403509,0.10526315789473685
user_0095,25,13,13,51,0.49019607843137253,0.2549019607843137,0.2549019607843137,0.49019607843137253,0.2549019607843137,0.2549019607843137
user_0096,29,23,14,66,0.4393939393939394,0.3484848484848485,0.21212121212121213,0.4393939393939394,0.3484848484848485,0.21212121212121213
user_0097,28,30,12,70,0.4,0.42857142857142855,0.17142857142857143,0.4,0.42857142857142855,0.17142857142857143
user_0098,29,11,10,50,0.58,0.22,0.2,0.58,0.22,0.2
user_0099,20,21,12,53,0.37735849056603776,0.39622641509433965,0.22641509433962265,0.37735849056603776,0.39622641509433965,0.22641509433962265
