group_id,avrai_stability,prior_art_stability,satisfaction,avrai_error,prior_art_error,improvement
group_40,0.6906408133458233,0.632861637079335,0.6894009801700633,0.0012398331757599301,0.05653934309072839,0.05529950991496846
group_41,0.7756130141304036,0.5491830162971014,0.6899184121710021,0.08569460195940148,0.14073539587390071,0.05504079391449923
group_42,0.6225361330560244,0.580999090950638,0.641414089602665,0.018877956546640595,0.06041499865202704,0.041537042105386446
group_43,0.6619607876033125,0.6437527839334086,0.6822854286146885,0.0203246410113761,0.038532644681279926,0.018208003669903827
group_44,0.7658548065586657,0.5936458461961742,0.7038002611019359,0.062054545456729726,0.11015441490576172,0.048099869449031996
group_45,0.6386934558314037,0.5826451809008821,0.6485354546929144,0.009841998861510715,0.06589027379203227,0.05604827493052156
group_46,0.6202288005591752,0.6093628540539352,0.6518366618452442,0.03160786128606907,0.04247380779130905,0.010865946505239976
group_47,0.7192470170927314,0.47540114060871835,0.6378592630805799,0.08138775401215148,0.1624581224718616,0.08107036845971011
group_48,0.636225541293221,0.5417719574197075,0.6311989994851714,0.005026541808049512,0.08942704206546392,0.08440050025741441
group_49,0.6498400824228776,0.6198205164890538,0.6678642395647726,0.01802415714189498,0.0480437230757188,0.030019565933823822
