event_id,category,event_date,impressions,conversions,tickets_sold,gross_revenue,marketing_cost,payment_processing_fee,platform_fee,total_costs,net_profit,cpa,roi,conversion_rate,attendance_rate,marketing_start_days_before,marketing_duration_days,marketing_start_date,marketing_end_date
event_0010,health,1776799024.3830297,116999,94,94,4700.0,2072.0,141.0,235.0,2448.0,2252.0,22.04255319148936,0.9199346405228758,0.0008034256703048744,0.094,43.70192743632745,30.458935002510632,1773023177.852531,1775654829.836748
event_0011,business,1766966954.6649761,118841,110,110,5500.0,2072.0,165.0,275.0,2512.0,2988.0,18.836363636363636,1.1894904458598725,0.00092560648261122,0.11,41.53390974543068,52.27112030938393,1763378424.8629708,1767894649.6577015
event_0012,technology,1773608027.1931162,106114,355,355,17750.0,2072.0,532.5,887.5,3492.0,14258.0,5.836619718309859,4.083046964490263,0.003345458657670053,0.355,38.93541747604584,30.711242754654517,1770244007.1231859,1772897458.497188
event_0013,art,1766676255.61406,96442,150,150,7500.0,2072.0,225.0,375.0,2672.0,4828.0,13.813333333333333,1.8068862275449102,0.0015553389602040604,0.15,56.1449874813383,28.972976369133864,1761825328.6956723,1764328593.8539655
event_0014,technology,1770290635.764075,68102,83,83,4150.0,2072.0,124.5,207.5,2404.0,1746.0,24.96385542168675,0.7262895174708819,0.0012187600951513906,0.083,49.170736540487084,28.50783657091798,1766042284.126977,1768505361.2067044
event_0015,health,1772419446.5814278,129118,180,180,9000.0,2072.0,270.0,450.0,2792.0,6208.0,11.511111111111111,2.2234957020057307,0.0013940736380675042,0.18,38.81150634415851,35.972389933708754,1769066132.4332926,1772174146.9235651
event_0016,art,1767389484.3867702,124499,238,238,11900.0,2072.0,357.0,595.0,3024.0,8876.0,8.705882352941176,2.935185185185185,0.0019116619410597675,0.238,49.042880564649636,51.812450173520276,1763152179.5059845,1767628775.2009766
event_0017,business,1768692426.2157357,85895,157,157,7850.0,2072.0,235.5,392.5,2700.0,5150.0,13.197452229299364,1.9074074074074074,0.0018278130275336166,0.157,53.32191354360188,37.192118368611936,1764085412.8855684,1767298811.9126165
event_0018,health,1776379085.1767373,69324,116,116,5800.0,2072.0,174.0,290.0,2536.0,3264.0,17.862068965517242,1.2870662460567823,0.001673302175292828,0.116,30.745419802748362,38.82313587004464,1773722680.9057798,1777076999.8449516
event_0019,art,1775561642.6638625,157727,258,258,12900.0,2072.0,387.0,645.0,3104.0,9796.0,8.031007751937985,3.1559278350515463,0.0016357376986818998,0.258,58.7774466953783,33.0821350577865,1770483271.2693818,1773341567.7383745
event_0020,health,1774479670.0721583,154453,262,262,13100.0,2072.0,393.0,655.0,3120.0,9980.0,7.908396946564886,3.198717948717949,0.0016963089095064518,0.262,32.890281284441286,43.82433463631981,1771637949.7691827,1775424372.2817607
event_0021,technology,1781678158.2719097,124364,152,152,7600.0,2072.0,228.0,380.0,2680.0,4920.0,13.631578947368421,1.835820895522388,0.0012222186484834839,0.152,40.0512018271959,48.43596910911101,1778217734.43404,1782402602.1650672
event_0022,health,1770077959.9377096,92045,85,85,4250.0,2072.0,127.5,212.5,2412.0,1838.0,24.376470588235293,0.7620232172470979,0.0009234613504264218,0.085,33.384308629117946,55.84905356491406,1767193555.6721537,1772018913.9001622
event_0023,business,1769624600.2880137,114740,358,358,17900.0,2072.0,537.0,895.0,3504.0,14396.0,5.787709497206704,4.108447488584475,0.0031200976119923306,0.358,53.86897156274899,37.53687684147329,1764970321.144992,1768213507.3040955
event_0024,health,1776538368.0527518,84199,103,103,5150.0,2072.0,154.5,257.5,2484.0,2666.0,20.116504854368934,1.0732689210950082,0.0012232924381524722,0.103,54.045474918859526,48.81719554634274,1771868839.0197623,1776086644.7149663
event_0025,technology,1777948569.5970414,76879,116,116,5800.0,2072.0,174.0,290.0,2536.0,3264.0,17.862068965517242,1.2870662460567823,0.0015088645794039985,0.116,46.377812636986036,44.365973270585684,1773941526.5852058,1777774746.6757843
event_0026,technology,1778357405.941984,120509,113,113,5650.0,2072.0,169.5,282.5,2524.0,3126.0,18.336283185840706,1.2385103011093503,0.0009376893012140172,0.113,35.03488968801245,40.84926676717292,1775330391.4729397,1778859768.1216235
event_0027,science,1774002155.1330166,71801,105,105,5250.0,2072.0,157.5,262.5,2492.0,2758.0,19.733333333333334,1.1067415730337078,0.0014623751758332058,0.105,31.552135786320196,53.10098723286622,1771276050.6010785,1775863975.897998
event_0028,technology,1774305226.6350777,98760,236,236,11800.0,2072.0,354.0,590.0,3016.0,8784.0,8.779661016949152,2.9124668435013263,0.002389631429728635,0.236,54.175414285438634,42.83349697723197,1769624470.8408158,1773325284.9796486
event_0029,business,1768197851.0929685,157282,229,229,11450.0,2072.0,343.5,572.5,2988.0,8462.0,9.048034934497817,2.8319946452476574,0.001455983520046795,0.229,30.55606784138656,37.908526126501755,1765557806.8314726,1768833103.4888024
event_0030,science,1772381207.2442489,88308,117,117,5850.0,2072.0,175.5,292.5,2540.0,3310.0,17.70940170940171,1.3031496062992125,0.0013249082755809212,0.117,59.46067742631786,53.87186729267498,1767243804.714615,1771898334.0487022
event_0031,technology,1780915734.6657627,66367,90,90,4500.0,2072.0,135.0,225.0,2432.0,2068.0,23.022222222222222,0.850328947368421,0.0013560956499465095,0.09,50.594134866657,33.79297508122244,1776544401.4132836,1779464114.4603012
event_0032,science,1778791482.7972412,184398,191,191,9550.0,2072.0,286.5,477.5,2836.0,6714.0,10.848167539267015,2.3674188998589565,0.0010358029913556546,0.191,56.174079247143666,45.67433421563756,1773938042.350288,1777884304.826519
event_0033,art,1767511220.2962754,116291,125,125,6250.0,2072.0,187.5,312.5,2572.0,3678.0,16.576,1.4300155520995335,0.001074889716315106,0.125,48.90830686447336,41.98388190014398,1763285542.583185,1766912949.9793575
event_0034,technology,1775853008.2208369,105541,147,147,7350.0,2072.0,220.5,367.5,2660.0,4690.0,14.095238095238095,1.763157894736842,0.0013928236419969492,0.147,52.88887214358315,33.77495312433184,1771283409.6676314,1774201565.6175737
event_0035,business,1780549814.854035,89083,182,182,9100.0,2072.0,273.0,455.0,2800.0,6300.0,11.384615384615385,2.25,0.0020430385146436468,0.182,55.76890663666066,47.80995614736079,1775731381.3206275,1779862161.5317595
event_0036,technology,1778683245.1526484,98762,144,144,7200.0,2072.0,216.0,360.0,2648.0,4552.0,14.38888888888889,1.7190332326283988,0.0014580506672606873,0.144,58.257618943506706,46.49595414967783,1773649786.8759294,1777667037.3144615
event_0037,art,1773086074.4590077,137000,126,126,6300.0,2072.0,189.0,315.0,2576.0,3724.0,16.444444444444443,1.4456521739130435,0.0009197080291970803,0.126,46.18246928794995,51.46130773182887,1769095909.1125288,1773542166.1005588
event_0038,business,1775451902.1338365,69038,89,89,4450.0,2072.0,133.5,222.5,2428.0,2022.0,23.280898876404493,0.8327841845140033,0.001289145108490976,0.089,30.768212166607203,37.30687850938712,1772793528.6026416,1776016842.9058526
event_0039,science,1772907429.6541555,122379,127,127,6350.0,2072.0,190.5,317.5,2580.0,3770.0,16.31496062992126,1.4612403100775193,0.0010377597463617123,0.127,55.20281623205744,28.669396255695716,1768137906.3317058,1770614942.1681979
event_0040,science,1773637563.4088914,108130,114,114,5700.0,2072.0,171.0,285.0,2528.0,3172.0,18.17543859649123,1.254746835443038,0.001054286506982336,0.114,34.74312850442277,41.209768851089294,1770635757.1061094,1774196281.1348436
event_0041,art,1767915372.0674064,79521,84,84,4200.0,2072.0,126.0,210.0,2408.0,1792.0,24.666666666666668,0.7441860465116279,0.0010563247444071377,0.084,59.12234918931772,52.86184312603156,1762807201.0974493,1767374464.3435385
event_0042,science,1779857712.7251666,92219,93,93,4650.0,2072.0,139.5,232.5,2444.0,2206.0,22.27956989247312,0.9026186579378068,0.0010084689706025872,0.093,48.71037541139993,44.94924463487121,1775649136.2896216,1779532751.0260744
event_0043,science,1769365317.0940866,77172,185,185,9250.0,2072.0,277.5,462.5,2812.0,6438.0,11.2,2.289473684210526,0.0023972425231949413,0.185,33.494929881149325,52.27335033866312,1766471355.1523554,1770987772.621616
event_0044,art,1769565736.0883422,82001,118,118,5900.0,2072.0,177.0,295.0,2544.0,3356.0,17.559322033898304,1.319182389937107,0.001439006841379983,0.118,47.54887881003381,35.67360679570271,1765457512.9591553,1768539712.586304
event_0045,health,1779920520.8922896,90207,72,72,3600.0,2072.0,108.0,180.0,2360.0,1240.0,28.77777777777778,0.5254237288135594,0.0007981642222887359,0.072,45.68049267747597,47.7655629633483,1775973726.3249557,1780100670.964989
event_0046,technology,1778816856.8913307,85091,141,141,7050.0,2072.0,211.5,352.5,2636.0,4414.0,14.695035460992909,1.6745068285280729,0.0016570495116992397,0.141,50.43206487027133,34.04107563027216,1774459526.4865394,1777400675.420995
event_0047,art,1774521423.3257022,52531,109,109,5450.0,2072.0,163.5,272.5,2508.0,2942.0,19.009174311926607,1.1730462519936204,0.002074965258609202,0.109,58.396074988137315,40.05105926276743,1769476002.446727,1772936413.96703
event_0048,technology,1775508777.612438,126771,277,277,13850.0,2072.0,415.5,692.5,3180.0,10670.0,7.48014440433213,3.3553459119496853,0.002185042320404509,0.277,46.48981055083122,45.612565306041,1771492057.9808462,1775432983.6232882
event_0049,health,1766407374.1666942,164312,304,304,15200.0,2072.0,456.0,760.0,3288.0,11912.0,6.815789473684211,3.6228710462287106,0.0018501387604070306,0.304,54.52657055252878,46.60446775291625,1761696278.4709556,1765722904.4848075
event_0050,business,1770387370.7607543,79800,233,233,11650.0,2072.0,349.5,582.5,3004.0,8646.0,8.892703862660944,2.878162450066578,0.002919799498746867,0.233,56.08332974512027,37.80477810740554,1765541771.070776,1768808103.8992558
event_0051,business,1773499869.2775419,143259,112,112,5600.0,2072.0,168.0,280.0,2520.0,3080.0,18.5,1.2222222222222223,0.00078180079436545,0.112,49.82793912251497,47.46690834509176,1769194735.3373566,1773295876.2183726
event_0052,art,1770988024.0363045,80436,86,86,4300.0,2072.0,129.0,215.0,2416.0,1884.0,24.093023255813954,0.7798013245033113,0.0010691730071112438,0.086,42.91276205151077,28.065664173427656,1767280361.3950539,1769705234.779638
event_0053,art,1773400147.771552,103301,92,92,4600.0,2072.0,138.0,230.0,2440.0,2160.0,22.52173913043478,0.8852459016393442,0.0008906012526500227,0.092,49.05475406105717,28.749292098787844,1769161817.0206769,1771645755.8580122
event_0054,art,1771964638.7779982,84114,94,94,4700.0,2072.0,141.0,235.0,2448.0,2252.0,22.04255319148936,0.9199346405228758,0.0011175309698742183,0.094,58.46712801282365,41.904480458911664,1766913078.9176903,1770533626.0293403
event_0055,technology,1770787036.7300687,101274,193,193,9650.0,2072.0,289.5,482.5,2844.0,6806.0,10.735751295336788,2.3931082981715894,0.0019057211130201236,0.193,49.70509597796095,46.29778061160883,1766492516.437573,1770492644.682416
event_0056,health,1774331992.751825,124690,113,113,5650.0,2072.0,169.5,282.5,2524.0,3126.0,18.336283185840706,1.2385103011093503,0.0009062474937845858,0.113,54.27097872328763,30.426239398254538,1769642980.190133,1772271807.2741423
event_0057,business,1775063532.7923594,77045,92,92,4600.0,2072.0,138.0,230.0,2440.0,2160.0,22.52173913043478,0.8852459016393442,0.001194107339866312,0.092,38.006038678251116,44.141905218064785,1771779811.0505586,1775593671.6613994
event_0058,business,1781708093.600548,85683,175,175,8750.0,2072.0,262.5,437.5,2772.0,5978.0,11.84,2.1565656565656566,0.0020424121471003583,0.175,38.30786169123129,36.66611888834028,1778398294.3504257,1781566247.0223782
event_0059,business,1781670969.4723213,88311,96,96,4800.0,2072.0,144.0,240.0,2456.0,2344.0,21.583333333333332,0.9543973941368078,0.0010870672962598092,0.096,44.60301131342926,43.657179066732,1777817269.294841,1781589249.5662067
event_0060,health,1780793475.3512616,103112,133,133,6650.0,2072.0,199.5,332.5,2604.0,4046.0,15.578947368421053,1.553763440860215,0.0012898595701761192,0.133,47.69458351332699,52.35085376214406,1776672663.33571,1781195777.1007593
event_0061,health,1776336803.012725,98460,230,230,11500.0,2072.0,345.0,575.0,2992.0,8508.0,9.008695652173913,2.843582887700535,0.0023359739995937436,0.23,56.22738694707848,31.99976887521809,1771478756.7804976,1774243536.8113165
event_0062,science,1779009285.5765502,67882,90,90,4500.0,2072.0,135.0,225.0,2432.0,2068.0,23.022222222222222,0.850328947368421,0.0013258301169676793,0.09,58.56225208206868,53.80517771046132,1773949506.9966595,1778598274.3508434
event_0063,art,1776950504.8210862,100426,116,116,5800.0,2072.0,174.0,290.0,2536.0,3264.0,17.862068965517242,1.2870662460567823,0.0011550793619182283,0.116,49.234839759888175,54.352694827096954,1772696614.6658318,1777392687.498893
event_0064,science,1774684271.9669223,62183,99,99,4950.0,2072.0,148.5,247.5,2468.0,2482.0,20.92929292929293,1.005672609400324,0.0015920750044224306,0.099,36.111897427778345,55.98916218687357,1771564204.0291622,1776401667.642108
event_0065,health,1769884459.5062158,104321,183,183,9150.0,2072.0,274.5,457.5,2804.0,6346.0,11.3224043715847,2.2631954350927246,0.001754200975834204,0.183,52.66920472108973,45.69699223000457,1765333840.2183137,1769282060.346986
event_0066,art,1775566109.1434362,49934,91,91,4550.0,2072.0,136.5,227.5,2436.0,2114.0,22.76923076923077,0.867816091954023,0.0018224055753594745,0.091,37.41197881442562,50.58278253613034,1772333714.1738698,1776704066.5849915
event_0067,science,1774265067.4554174,86186,250,250,12500.0,2072.0,375.0,625.0,3072.0,9428.0,8.288,3.0690104166666665,0.0029007031304388183,0.25,59.956709529835734,50.652766903978275,1769084807.7520397,1773461206.8125434
event_0068,science,1772327914.2575865,70708,145,145,7250.0,2072.0,217.5,362.5,2652.0,4598.0,14.289655172413793,1.7337858220211162,0.0020506873338236127,0.145,36.072880194246615,48.471549951317385,1769211217.4088035,1773399159.3245974
event_0069,business,1770801301.3238447,78509,228,228,11400.0,2072.0,342.0,570.0,2984.0,8416.0,9.087719298245615,2.8203753351206435,0.0029041256416461807,0.228,59.21279049952015,49.32410767186492,1765685316.2246861,1769946919.1275353
event_0070,business,1769973491.0721772,115055,145,145,7250.0,2072.0,217.5,362.5,2652.0,4598.0,14.289655172413793,1.7337858220211162,0.0012602668289079136,0.145,44.91723368895186,49.65225584421259,1766092642.0814517,1770382596.9863915
event_0071,health,1778610171.5968654,114309,86,86,4300.0,2072.0,129.0,215.0,2416.0,1884.0,24.093023255813954,0.7798013245033113,0.0007523467093579683,0.086,30.886830305596305,35.31385481121087,1775941549.458462,1778992666.5141506
event_0072,art,1766749291.5456383,95730,101,101,5050.0,2072.0,151.5,252.5,2476.0,2574.0,20.514851485148515,1.0395799676898223,0.0010550506633239319,0.101,41.987989345867184,45.81625260663132,1763121529.2661555,1767080053.4913685
event_0073,health,1771371434.814472,65256,102,102,5100.0,2072.0,153.0,255.0,2480.0,2620.0,20.313725490196077,1.0564516129032258,0.0015630746598013976,0.102,33.65271589324067,46.91958739019471,1768463840.161296,1772517692.5118086
event_0074,science,1772180264.5790927,70487,71,71,3550.0,2072.0,106.5,177.5,2356.0,1194.0,29.183098591549296,0.5067911714770797,0.00100727793777576,0.071,34.95384527899938,28.094442600614876,1769160252.3469872,1771587612.1876805
event_0075,business,1775402883.4221344,81419,175,175,8750.0,2072.0,262.5,437.5,2772.0,5978.0,11.84,2.1565656565656566,0.0021493754529041133,0.175,43.01353962652051,44.27631921015978,1771686513.598403,1775511987.5781608
event_0076,science,1770704426.014402,120110,198,198,9900.0,2072.0,297.0,495.0,2864.0,7036.0,10.464646464646465,2.456703910614525,0.0016484888851885772,0.198,56.787071685781726,53.6214631776174,1765798023.0207503,1770430917.4392965
event_0077,art,1781605582.7880378,110971,118,118,5900.0,2072.0,177.0,295.0,2544.0,3356.0,17.559322033898304,1.319182389937107,0.001063340872840652,0.118,30.148090459442017,34.250279104454904,1779000787.772342,1781960011.886967
event_0078,health,1779290774.0863647,92078,105,105,5250.0,2072.0,157.5,262.5,2492.0,2758.0,19.733333333333334,1.1067415730337078,0.001140337539911814,0.105,56.62432196786156,55.25163480990989,1774398432.6683414,1779172173.9159176
event_0079,technology,1774412083.2152016,113327,299,299,14950.0,2072.0,448.5,747.5,3268.0,11682.0,6.929765886287625,3.5746634026927784,0.002638382733152735,0.299,47.89336829206867,32.09774660433956,1770274096.194767,1773047341.5013819
event_0080,science,1767328911.6129851,72020,107,107,5350.0,2072.0,160.5,267.5,2500.0,2850.0,19.364485981308412,1.14,0.0014856984171063594,0.107,46.10551605940548,36.737005541312826,1763345395.0254526,1766519472.304222
event_0081,business,1772346728.4569042,123698,108,108,5400.0,2072.0,162.0,270.0,2504.0,2896.0,19.185185185185187,1.156549520766773,0.000873094148652363,0.108,54.615649176075046,28.769313454890856,1767627936.3680913,1770113605.0505939
event_0082,technology,1775053159.012058,63203,145,145,7250.0,2072.0,217.5,362.5,2652.0,4598.0,14.289655172413793,1.7337858220211162,0.0022941948958119076,0.145,50.96170360766973,41.17461963482513,1770650067.8203554,1774207554.9568043
event_0083,health,1774805842.8828442,76964,115,115,5750.0,2072.0,172.5,287.5,2532.0,3218.0,18.017391304347825,1.2709320695102686,0.0014942050828958993,0.115,55.85738136223491,47.794045264617054,1769979765.133147,1774109170.6440098
event_0084,health,1768081377.499576,120071,154,154,7700.0,2072.0,231.0,385.0,2688.0,5012.0,13.454545454545455,1.8645833333333333,0.0012825744767679123,0.154,52.87445542376423,30.96314779657248,1763513024.550963,1766188240.5205867
event_0085,business,1774162979.6079388,109402,157,157,7850.0,2072.0,235.5,392.5,2700.0,5150.0,13.197452229299364,1.9074074074074074,0.0014350743130838559,0.157,44.16467501425801,30.730999015564834,1770347151.6867068,1773002310.0016515
event_0086,art,1780101896.8001928,91451,203,203,10150.0,2072.0,304.5,507.5,2884.0,7266.0,10.206896551724139,2.5194174757281553,0.0022197679631715344,0.203,43.72616222403089,46.54830709488114,1776323956.3840365,1780345730.1170342
event_0087,business,1774963688.758122,53569,115,115,5750.0,2072.0,172.5,287.5,2532.0,3218.0,18.017391304347825,1.2709320695102686,0.002146763986634061,0.115,56.30313662270336,34.37577251498684,1770099097.7539203,1773069164.4992151
event_0088,business,1773639717.3315914,98188,174,174,8700.0,2072.0,261.0,435.0,2768.0,5932.0,11.908045977011493,2.143063583815029,0.001772110644885322,0.174,31.570915733467704,37.53202292188527,1770911990.2122197,1774154756.9926705
event_0089,science,1781459527.8563042,81937,179,179,8950.0,2072.0,268.5,447.5,2788.0,6162.0,11.575418994413408,2.210186513629842,0.002184605245493489,0.179,35.90116962959226,39.879334013189975,1778357666.8003075,1781803241.259047
event_0090,art,1770409348.4740255,80483,147,147,7350.0,2072.0,220.5,367.5,2660.0,4690.0,14.095238095238095,1.763157894736842,0.0018264726712473442,0.147,36.0211982069343,46.78140874081539,1767297116.9489465,1771339030.6641529
event_0091,health,1769976329.394143,87928,232,232,11600.0,2072.0,348.0,580.0,3000.0,8600.0,8.931034482758621,2.8666666666666667,0.002638522427440633,0.232,45.85661663068481,41.25779214607568,1766014317.717252,1769578990.958673
event_0092,business,1777000105.622599,101426,69,69,3450.0,2072.0,103.5,172.5,2348.0,1102.0,30.028985507246375,0.469335604770017,0.0006802989371561532,0.069,49.042389901041005,33.15546075202997,1772762843.135149,1775627474.9441245
event_0093,science,1775876720.4462218,78784,94,94,4700.0,2072.0,141.0,235.0,2448.0,2252.0,22.04255319148936,0.9199346405228758,0.001193135662063363,0.094,39.897018529583306,29.19488299735488,1772429618.045266,1774952055.9362373
event_0094,business,1768397234.258773,78117,101,101,5050.0,2072.0,151.5,252.5,2476.0,2574.0,20.514851485148515,1.0395799676898223,0.0012929323962773789,0.101,44.98692680270331,35.888663818500916,1764510363.7830195,1767611144.336938
event_0095,science,1778212408.5607412,83946,180,180,9000.0,2072.0,270.0,450.0,2792.0,6208.0,11.511111111111111,2.2234957020057307,0.0021442355800157242,0.18,56.74927352470656,49.13820075231556,1773309271.3282065,1777554811.8732066
event_0096,technology,1772548513.0083315,103051,169,169,8450.0,2072.0,253.5,422.5,2748.0,5702.0,12.2603550295858,2.074963609898108,0.0016399646776838652,0.169,50.40992687909771,33.907448156257466,1768193095.3259776,1771122698.8466783
event_0097,science,1774988785.9765034,50067,69,69,3450.0,2072.0,103.5,172.5,2348.0,1102.0,30.028985507246375,0.469335604770017,0.00137815327461202,0.069,45.283492761145155,53.027855261116635,1771076292.2019405,1775657898.896501
event_0098,health,1768513591.770856,137060,124,124,6200.0,2072.0,186.0,310.0,2568.0,3632.0,16.70967741935484,1.4143302180685358,0.000904713264263826,0.124,47.48607035271028,29.140813677790458,1764410795.2923818,1766928561.594143
event_0099,business,1775018168.7802668,82342,177,177,8850.0,2072.0,265.5,442.5,2780.0,6070.0,11.706214689265536,2.183453237410072,0.002149571300187025,0.177,42.30112305616689,34.27623048272701,1771363351.748214,1774324818.0619216
event_0100,science,1776034766.2383282,78692,177,177,8850.0,2072.0,265.5,442.5,2780.0,6070.0,11.706214689265536,2.183453237410072,0.0022492756569918162,0.177,55.3711625277695,55.69184380248055,1771250697.795929,1776062473.1004634
event_0101,technology,1771716400.5153096,60393,69,69,3450.0,2072.0,103.5,172.5,2348.0,1102.0,30.028985507246375,0.469335604770017,0.0011425165168148627,0.069,42.200628304797746,36.71159550582277,1768070266.229775,1771242148.081478
event_0102,business,1778814503.7103696,174882,203,203,10150.0,2072.0,304.5,507.5,2884.0,7266.0,10.206896551724139,2.5194174757281553,0.001160782699191455,0.203,52.88403087425921,31.53622784841208,1774245323.4428337,1776970053.5289364
event_0103,art,1774177277.6853628,90251,102,102,5100.0,2072.0,153.0,255.0,2480.0,2620.0,20.313725490196077,1.0564516129032258,0.001130181383031767,0.102,37.180377040881126,30.6170402317584,1770964893.1090307,1773610205.3850546
event_0104,business,1769476794.317031,61216,109,109,5450.0,2072.0,163.5,272.5,2508.0,2942.0,19.009174311926607,1.1730462519936204,0.0017805802404600106,0.109,39.469512671462596,32.952732043018116,1766066628.4222167,1768913744.4707334
event_0105,business,1780587729.9165525,64648,93,93,4650.0,2072.0,139.5,232.5,2444.0,2206.0,22.27956989247312,0.9026186579378068,0.001438559584209875,0.093,52.16832528835354,34.68133891503253,1776080386.6116388,1779076854.2938976
event_0106,health,1766722351.6254961,120869,96,96,4800.0,2072.0,144.0,240.0,2456.0,2344.0,21.583333333333332,0.9543973941368078,0.0007942483184273883,0.096,42.711461768093486,55.17517901181468,1763032081.328733,1767799216.7953537
event_0107,business,1771553553.0409036,50481,62,62,3100.0,2072.0,93.0,155.0,2320.0,780.0,33.41935483870968,0.33620689655172414,0.0012281848616311087,0.062,38.98868979250671,53.84153830207295,1768184930.242831,1772836839.1521301
event_0108,science,1776732026.6256797,95905,159,159,7950.0,2072.0,238.5,397.5,2708.0,5242.0,13.031446540880504,1.9357459379615953,0.001657890620926959,0.159,52.27988740357944,29.871327449723044,1772215044.3540106,1774795927.0456667
event_0109,technology,1771580151.450276,69959,174,174,8700.0,2072.0,261.0,435.0,2768.0,5932.0,11.908045977011493,2.143063583815029,0.0024871710573335813,0.174,52.40565118216291,40.06085162938771,1767052303.188137,1770513560.7689161
event_0110,health,1781317570.6566026,70992,96,96,4800.0,2072.0,144.0,240.0,2456.0,2344.0,21.583333333333332,0.9543973941368078,0.001352265043948614,0.096,50.25752468772647,47.947277565840906,1776975320.523583,1781117965.3052716
event_0111,art,1767404325.1647298,75094,87,87,4350.0,2072.0,130.5,217.5,2420.0,1930.0,23.816091954022987,0.7975206611570248,0.0011585479532319493,0.087,37.72956051420915,48.405150673701385,1764144491.1363022,1768326696.15451
event_0112,health,1767444444.0566626,67953,98,98,4900.0,2072.0,147.0,245.0,2464.0,2436.0,21.142857142857142,0.9886363636363636,0.0014421732668167704,0.098,32.43705129186466,51.39530263835695,1764641882.8250453,1769082436.9729993
event_0113,science,1777032486.096841,80853,117,117,5850.0,2072.0,175.5,292.5,2540.0,3310.0,17.70940170940171,1.3031496062992125,0.0014470706096248748,0.117,53.34056780344065,34.40659973894228,1772423861.0386238,1775396591.2560685
event_0114,technology,1780186427.7937179,135934,103,103,5150.0,2072.0,154.5,257.5,2484.0,2666.0,20.116504854368934,1.0732689210950082,0.000757720658554887,0.103,32.062705182100274,45.0827127077536,1777416210.0659845,1781311356.4439344
event_0115,technology,1769476422.1063223,185880,216,216,10800.0,2072.0,324.0,540.0,2936.0,7864.0,9.592592592592593,2.678474114441417,0.0011620400258231117,0.216,30.1182124717859,30.923744736926665,1766874208.54876,1769546020.0940304
event_0116,technology,1779916566.5753155,57732,126,126,6300.0,2072.0,189.0,315.0,2576.0,3724.0,16.444444444444443,1.4456521739130435,0.002182498441072542,0.126,45.09423346407854,52.88066671818109,1776020424.804019,1780589314.40847
event_0117,business,1772753482.3592894,149308,151,151,7550.0,2072.0,226.5,377.5,2676.0,4874.0,13.721854304635762,1.8213751868460388,0.0010113322795831435,0.151,52.12241187467052,54.86353733205033,1768250105.9733179,1772990315.598807
event_0118,health,1781222610.6054766,123763,259,259,12950.0,2072.0,388.5,647.5,3108.0,9842.0,8.0,3.1666666666666665,0.0020927094527443584,0.259,49.15812905580726,53.622480853179354,1776975348.255055,1781608330.6007698
event_0119,technology,1774812099.7602954,160005,103,103,5150.0,2072.0,154.5,257.5,2484.0,2666.0,20.116504854368934,1.0732689210950082,0.0006437298834411425,0.103,57.10740879261618,31.351128102596167,1769878019.6406133,1772586757.1086776
