connection_id,device_a_id,device_b_id,exchange_success,profile_a_accuracy,profile_b_accuracy
conn_0088,device_0066,device_0026,True,1.0,1.0
conn_0089,device_0043,device_0096,True,1.0,1.0
conn_0090,device_0019,device_0140,True,1.0,1.0
conn_0091,device_0023,device_0086,True,1.0,1.0
conn_0092,device_0157,device_0123,True,1.0,1.0
conn_0093,device_0110,device_0167,True,1.0,1.0
conn_0094,device_0111,device_0040,True,1.0,1.0
conn_0095,device_0084,device_0052,True,1.0,1.0
conn_0096,device_0104,device_0178,True,1.0,1.0
conn_0097,device_0186,device_0138,True,1.0,1.0
conn_0098,device_0072,device_0076,True,1.0,1.0
conn_0099,device_0012,device_0100,True,1.0,1.0
conn_0100,device_0125,device_0039,True,1.0,1.0
conn_0101,device_0000,device_0109,True,1.0,1.0
conn_0102,device_0169,device_0160,True,1.0,1.0
conn_0103,device_0051,device_0024,True,1.0,1.0
conn_0104,device_0043,device_0163,True,1.0,1.0
conn_0105,device_0020,device_0121,True,1.0,1.0
conn_0106,device_0078,device_0101,True,1.0,1.0
conn_0107,device_0169,device_0067,True,1.0,1.0
conn_0108,device_0139,device_0099,True,1.0,1.0
conn_0109,device_0097,device_0094,True,1.0,1.0
conn_0110,device_0011,device_0067,True,1.0,1.0
conn_0111,device_0067,device_0057,True,1.0,1.0
conn_0112,device_0144,device_0015,True,1.0,1.0
conn_0113,device_0178,device_0170,True,1.0,1.0
conn_0114,device_0171,device_0088,True,1.0,1.0
conn_0115,device_0105,device_0193,True,1.0,1.0
conn_0116,device_0141,device_0015,True,1.0,1.0
conn_0117,device_0133,device_0107,True,1.0,1.0
conn_0118,device_0175,device_0121,True,1.0,1.0
conn_0119,device_0060,device_0121,True,1.0,1.0
conn_0120,device_0101,device_0182,True,1.0,1.0
conn_0121,device_0146,device_0132,True,1.0,1.0
conn_0122,device_0173,device_0158,True,1.0,1.0
conn_0123,device_0193,device_0114,True,1.0,1.0
conn_0124,device_0042,device_0054,True,1.0,1.0
conn_0125,device_0032,device_0010,True,1.0,1.0
conn_0126,device_0174,device_0111,True,1.0,1.0
conn_0127,device_0160,device_0037,True,1.0,1.0
conn_0128,device_0066,device_0081,True,1.0,1.0
conn_0129,device_0017,device_0022,False,0.0,0.0
conn_0130,device_0101,device_0141,True,1.0,1.0
conn_0131,device_0070,device_0133,True,1.0,1.0
conn_0132,device_0003,device_0179,True,1.0,1.0
conn_0133,device_0133,device_0107,True,1.0,1.0
conn_0134,device_0038,device_0037,True,1.0,1.0
conn_0135,device_0149,device_0194,True,1.0,1.0
conn_0136,device_0025,device_0027,True,1.0,1.0
conn_0137,device_0025,device_0073,True,1.0,1.0
conn_0138,device_0088,device_0105,True,1.0,1.0
conn_0139,device_0167,device_0124,True,1.0,1.0
conn_0140,device_0121,device_0009,True,1.0,1.0
conn_0141,device_0103,device_0036,True,1.0,1.0
conn_0142,device_0174,device_0177,False,0.0,0.0
conn_0143,device_0101,device_0084,True,1.0,1.0
conn_0144,device_0012,device_0190,True,1.0,1.0
conn_0145,device_0068,device_0095,True,1.0,1.0
conn_0146,device_0077,device_0079,True,1.0,1.0
conn_0147,device_0125,device_0178,True,1.0,1.0
conn_0148,device_0058,device_0034,True,1.0,1.0
conn_0149,device_0190,device_0113,True,1.0,1.0
conn_0150,device_0082,device_0068,False,0.0,0.0
conn_0151,device_0154,device_0165,True,1.0,1.0
conn_0152,device_0113,device_0054,True,1.0,1.0
conn_0153,device_0104,device_0189,True,1.0,1.0
conn_0154,device_0132,device_0095,True,1.0,1.0
conn_0155,device_0131,device_0040,True,1.0,1.0
conn_0156,device_0181,device_0129,True,1.0,1.0
conn_0157,device_0199,device_0134,True,1.0,1.0
conn_0158,device_0007,device_0044,True,1.0,1.0
conn_0159,device_0051,device_0014,True,1.0,1.0
conn_0160,device_0116,device_0012,True,1.0,1.0
conn_0161,device_0180,device_0050,True,1.0,1.0
conn_0162,device_0118,device_0129,True,1.0,1.0
conn_0163,device_0031,device_0174,True,1.0,1.0
conn_0164,device_0095,device_0125,True,1.0,1.0
conn_0165,device_0045,device_0121,True,1.0,1.0
conn_0166,device_0089,device_0088,True,1.0,1.0
conn_0167,device_0066,device_0191,True,1.0,1.0
conn_0168,device_0023,device_0072,True,1.0,1.0
conn_0169,device_0012,device_0041,True,1.0,1.0
conn_0170,device_0199,device_0054,True,1.0,1.0
conn_0171,device_0165,device_0057,True,1.0,1.0
conn_0172,device_0068,device_0166,True,1.0,1.0
conn_0173,device_0005,device_0199,True,1.0,1.0
conn_0174,device_0174,device_0002,True,1.0,1.0
conn_0175,device_0033,device_0165,True,1.0,1.0
conn_0176,device_0002,device_0057,True,1.0,1.0
conn_0177,device_0078,device_0182,True,1.0,1.0
conn_0178,device_0164,device_0070,True,1.0,1.0
conn_0179,device_0096,device_0089,True,1.0,1.0
conn_0180,device_0055,device_0119,True,1.0,1.0
conn_0181,device_0133,device_0159,True,1.0,1.0
conn_0182,device_0026,device_0001,True,1.0,1.0
conn_0183,device_0169,device_0095,True,1.0,1.0
conn_0184,device_0152,device_0155,True,1.0,1.0
conn_0185,device_0175,device_0027,True,1.0,1.0
conn_0186,device_0086,device_0070,True,1.0,1.0
conn_0187,device_0070,device_0066,True,1.0,1.0
conn_0188,device_0166,device_0076,True,1.0,1.0
conn_0189,device_0132,device_0195,True,1.0,1.0
conn_0190,device_0014,device_0153,True,1.0,1.0
conn_0191,device_0081,device_0174,True,1.0,1.0
conn_0192,device_0006,device_0167,True,1.0,1.0
conn_0193,device_0075,device_0066,True,1.0,1.0
conn_0194,device_0103,device_0099,True,1.0,1.0
conn_0195,device_0149,device_0181,True,1.0,1.0
conn_0196,device_0048,device_0087,True,1.0,1.0
conn_0197,device_0056,device_0175,True,1.0,1.0
conn_0198,device_0121,device_0171,True,1.0,1.0
conn_0199,device_0076,device_0043,True,1.0,1.0
conn_0200,device_0142,device_0046,True,1.0,1.0
conn_0201,device_0120,device_0032,True,1.0,1.0
conn_0202,device_0185,device_0143,True,1.0,1.0
conn_0203,device_0046,device_0174,True,1.0,1.0
conn_0204,device_0167,device_0022,False,0.0,0.0
conn_0205,device_0057,device_0190,False,0.0,0.0
conn_0206,device_0107,device_0084,True,1.0,1.0
conn_0207,device_0149,device_0075,True,1.0,1.0
conn_0208,device_0030,device_0120,True,1.0,1.0
conn_0209,device_0162,device_0149,True,1.0,1.0
conn_0210,device_0158,device_0018,True,1.0,1.0
conn_0211,device_0049,device_0128,True,1.0,1.0
conn_0212,device_0174,device_0097,True,1.0,1.0
conn_0213,device_0105,device_0013,True,1.0,1.0
conn_0214,device_0038,device_0035,True,1.0,1.0
conn_0215,device_0087,device_0104,True,1.0,1.0
conn_0216,device_0117,device_0036,True,1.0,1.0
conn_0217,device_0183,device_0046,True,1.0,1.0
conn_0218,device_0124,device_0085,True,1.0,1.0
conn_0219,device_0045,device_0080,True,1.0,1.0
conn_0220,device_0001,device_0115,True,1.0,1.0
conn_0221,device_0194,device_0198,True,1.0,1.0
conn_0222,device_0195,device_0040,True,1.0,1.0
conn_0223,device_0195,device_0199,True,1.0,1.0
conn_0224,device_0157,device_0111,True,1.0,1.0
conn_0225,device_0103,device_0109,True,1.0,1.0
conn_0226,device_0098,device_0001,False,0.0,0.0
conn_0227,device_0051,device_0187,True,1.0,1.0
conn_0228,device_0003,device_0082,True,1.0,1.0
conn_0229,device_0135,device_0048,True,1.0,1.0
conn_0230,device_0001,device_0160,True,1.0,1.0
conn_0231,device_0057,device_0177,True,1.0,1.0
conn_0232,device_0079,device_0033,True,1.0,1.0
conn_0233,device_0128,device_0150,True,1.0,1.0
conn_0234,device_0016,device_0011,True,1.0,1.0
conn_0235,device_0074,device_0116,True,1.0,1.0
conn_0236,device_0152,device_0134,True,1.0,1.0
conn_0237,device_0175,device_0034,True,1.0,1.0
conn_0238,device_0125,device_0091,True,1.0,1.0
conn_0239,device_0042,device_0103,True,1.0,1.0
conn_0240,device_0057,device_0186,True,1.0,1.0
conn_0241,device_0054,device_0187,True,1.0,1.0
conn_0242,device_0129,device_0043,True,1.0,1.0
conn_0243,device_0182,device_0166,True,1.0,1.0
conn_0244,device_0096,device_0163,True,1.0,1.0
conn_0245,device_0136,device_0159,True,1.0,1.0
conn_0246,device_0012,device_0169,True,1.0,1.0
conn_0247,device_0005,device_0012,True,1.0,1.0
conn_0248,device_0106,device_0113,True,1.0,1.0
conn_0249,device_0140,device_0064,True,1.0,1.0
conn_0250,device_0039,device_0052,True,1.0,1.0
conn_0251,device_0161,device_0002,True,1.0,1.0
conn_0252,device_0169,device_0025,True,1.0,1.0
conn_0253,device_0069,device_0159,True,1.0,1.0
conn_0254,device_0035,device_0107,True,1.0,1.0
conn_0255,device_0026,device_0130,True,1.0,1.0
conn_0256,device_0030,device_0072,True,1.0,1.0
conn_0257,device_0027,device_0127,True,1.0,1.0
conn_0258,device_0051,device_0199,True,1.0,1.0
conn_0259,device_0133,device_0051,True,1.0,1.0
conn_0260,device_0104,device_0075,True,1.0,1.0
conn_0261,device_0140,device_0127,True,1.0,1.0
conn_0262,device_0176,device_0123,True,1.0,1.0
conn_0263,device_0000,device_0003,True,1.0,1.0
conn_0264,device_0028,device_0146,True,1.0,1.0
conn_0265,device_0038,device_0023,True,1.0,1.0
conn_0266,device_0019,device_0185,True,1.0,1.0
conn_0267,device_0065,device_0164,True,1.0,1.0
conn_0268,device_0075,device_0067,True,1.0,1.0
conn_0269,device_0025,device_0044,False,0.0,0.0
conn_0270,device_0074,device_0092,True,1.0,1.0
conn_0271,device_0080,device_0109,True,1.0,1.0
conn_0272,device_0024,device_0194,True,1.0,1.0
conn_0273,device_0002,device_0035,True,1.0,1.0
conn_0274,device_0043,device_0084,True,1.0,1.0
conn_0275,device_0112,device_0159,True,1.0,1.0
conn_0276,device_0187,device_0023,True,1.0,1.0
conn_0277,device_0087,device_0046,True,1.0,1.0
conn_0278,device_0102,device_0116,True,1.0,1.0
conn_0279,device_0098,device_0176,True,1.0,1.0
conn_0280,device_0107,device_0166,True,1.0,1.0
conn_0281,device_0042,device_0028,True,1.0,1.0
conn_0282,device_0185,device_0015,True,1.0,1.0
conn_0283,device_0040,device_0026,True,1.0,1.0
conn_0284,device_0151,device_0123,True,1.0,1.0
conn_0285,device_0173,device_0112,True,1.0,1.0
conn_0286,device_0097,device_0199,True,1.0,1.0
conn_0287,device_0007,device_0175,True,1.0,1.0
conn_0288,device_0186,device_0033,True,1.0,1.0
conn_0289,device_0124,device_0028,True,1.0,1.0
conn_0290,device_0112,device_0011,True,1.0,1.0
conn_0291,device_0167,device_0080,False,0.0,0.0
conn_0292,device_0173,device_0134,True,1.0,1.0
conn_0293,device_0147,device_0185,True,1.0,1.0
conn_0294,device_0171,device_0086,True,1.0,1.0
conn_0295,device_0176,device_0179,True,1.0,1.0
conn_0296,device_0110,device_0169,True,1.0,1.0
conn_0297,device_0123,device_0088,True,1.0,1.0
conn_0298,device_0164,device_0098,True,1.0,1.0
conn_0299,device_0142,device_0156,False,0.0,0.0
conn_0300,device_0164,device_0040,True,1.0,1.0
conn_0301,device_0120,device_0126,True,1.0,1.0
conn_0302,device_0019,device_0192,True,1.0,1.0
conn_0303,device_0061,device_0084,True,1.0,1.0
conn_0304,device_0012,device_0129,True,1.0,1.0
conn_0305,device_0164,device_0096,True,1.0,1.0
conn_0306,device_0060,device_0020,True,1.0,1.0
conn_0307,device_0146,device_0114,True,1.0,1.0
conn_0308,device_0127,device_0114,True,1.0,1.0
conn_0309,device_0127,device_0190,True,1.0,1.0
conn_0310,device_0026,device_0103,True,1.0,1.0
conn_0311,device_0142,device_0140,False,0.0,0.0
conn_0312,device_0023,device_0154,False,0.0,0.0
conn_0313,device_0163,device_0077,True,1.0,1.0
conn_0314,device_0143,device_0052,True,1.0,1.0
conn_0315,device_0116,device_0087,True,1.0,1.0
conn_0316,device_0013,device_0057,True,1.0,1.0
conn_0317,device_0084,device_0143,False,0.0,0.0
conn_0318,device_0153,device_0121,False,0.0,0.0
conn_0319,device_0093,device_0183,True,1.0,1.0
conn_0320,device_0024,device_0194,True,1.0,1.0
conn_0321,device_0000,device_0087,True,1.0,1.0
conn_0322,device_0162,device_0074,True,1.0,1.0
conn_0323,device_0095,device_0179,True,1.0,1.0
conn_0324,device_0042,device_0126,True,1.0,1.0
conn_0325,device_0183,device_0190,True,1.0,1.0
conn_0326,device_0027,device_0065,True,1.0,1.0
conn_0327,device_0048,device_0030,True,1.0,1.0
conn_0328,device_0100,device_0055,True,1.0,1.0
conn_0329,device_0048,device_0183,True,1.0,1.0
conn_0330,device_0193,device_0106,True,1.0,1.0
conn_0331,device_0162,device_0172,True,1.0,1.0
conn_0332,device_0197,device_0115,True,1.0,1.0
conn_0333,device_0150,device_0129,True,1.0,1.0
conn_0334,device_0127,device_0001,True,1.0,1.0
conn_0335,device_0012,device_0141,True,1.0,1.0
conn_0336,device_0149,device_0123,True,1.0,1.0
conn_0337,device_0199,device_0045,True,1.0,1.0
conn_0338,device_0044,device_0187,True,1.0,1.0
conn_0339,device_0026,device_0099,True,1.0,1.0
conn_0340,device_0155,device_0082,True,1.0,1.0
conn_0341,device_0098,device_0107,True,1.0,1.0
conn_0342,device_0177,device_0195,True,1.0,1.0
conn_0343,device_0101,device_0087,True,1.0,1.0
conn_0344,device_0115,device_0034,True,1.0,1.0
conn_0345,device_0154,device_0179,True,1.0,1.0
conn_0346,device_0131,device_0076,True,1.0,1.0
conn_0347,device_0140,device_0080,True,1.0,1.0
conn_0348,device_0141,device_0161,True,1.0,1.0
conn_0349,device_0053,device_0159,True,1.0,1.0
conn_0350,device_0175,device_0088,True,1.0,1.0
conn_0351,device_0033,device_0181,True,1.0,1.0
conn_0352,device_0045,device_0128,True,1.0,1.0
conn_0353,device_0163,device_0082,True,1.0,1.0
conn_0354,device_0194,device_0090,True,1.0,1.0
conn_0355,device_0149,device_0146,True,1.0,1.0
conn_0356,device_0181,device_0106,True,1.0,1.0
conn_0357,device_0136,device_0073,True,1.0,1.0
conn_0358,device_0108,device_0003,True,1.0,1.0
conn_0359,device_0006,device_0097,False,0.0,0.0
conn_0360,device_0171,device_0014,False,0.0,0.0
conn_0361,device_0192,device_0041,True,1.0,1.0
conn_0362,device_0174,device_0064,True,1.0,1.0
conn_0363,device_0015,device_0176,True,1.0,1.0
conn_0364,device_0052,device_0192,True,1.0,1.0
conn_0365,device_0091,device_0115,True,1.0,1.0
conn_0366,device_0172,device_0189,True,1.0,1.0
conn_0367,device_0057,device_0190,True,1.0,1.0
conn_0368,device_0099,device_0060,True,1.0,1.0
conn_0369,device_0178,device_0073,True,1.0,1.0
conn_0370,device_0012,device_0097,False,0.0,0.0
conn_0371,device_0175,device_0080,True,1.0,1.0
conn_0372,device_0013,device_0003,True,1.0,1.0
conn_0373,device_0051,device_0158,True,1.0,1.0
conn_0374,device_0113,device_0057,True,1.0,1.0
conn_0375,device_0180,device_0181,True,1.0,1.0
conn_0376,device_0193,device_0150,True,1.0,1.0
conn_0377,device_0154,device_0050,True,1.0,1.0
conn_0378,device_0049,device_0075,True,1.0,1.0
conn_0379,device_0174,device_0019,True,1.0,1.0
conn_0380,device_0044,device_0188,True,1.0,1.0
conn_0381,device_0096,device_0010,True,1.0,1.0
conn_0382,device_0142,device_0067,True,1.0,1.0
conn_0383,device_0149,device_0065,True,1.0,1.0
conn_0384,device_0119,device_0181,True,1.0,1.0
conn_0385,device_0010,device_0039,True,1.0,1.0
conn_0386,device_0152,device_0013,True,1.0,1.0
conn_0387,device_0160,device_0157,True,1.0,1.0
conn_0388,device_0077,device_0125,True,1.0,1.0
conn_0389,device_0140,device_0091,False,0.0,0.0
conn_0390,device_0181,device_0081,True,1.0,1.0
conn_0391,device_0047,device_0133,False,0.0,0.0
conn_0392,device_0129,device_0040,True,1.0,1.0
conn_0393,device_0137,device_0103,True,1.0,1.0
conn_0394,device_0056,device_0054,True,1.0,1.0
conn_0395,device_0084,device_0092,True,1.0,1.0
conn_0396,device_0192,device_0158,True,1.0,1.0
conn_0397,device_0143,device_0192,False,0.0,0.0
conn_0398,device_0002,device_0029,True,1.0,1.0
conn_0399,device_0114,device_0061,True,1.0,1.0
conn_0400,device_0157,device_0159,True,1.0,1.0
conn_0401,device_0010,device_0174,True,1.0,1.0
conn_0402,device_0097,device_0029,True,1.0,1.0
conn_0403,device_0138,device_0185,True,1.0,1.0
conn_0404,device_0132,device_0197,True,1.0,1.0
conn_0405,device_0130,device_0114,True,1.0,1.0
conn_0406,device_0075,device_0166,True,1.0,1.0
conn_0407,device_0131,device_0021,True,1.0,1.0
conn_0408,device_0042,device_0197,True,1.0,1.0
conn_0409,device_0001,device_0160,True,1.0,1.0
conn_0410,device_0171,device_0161,True,1.0,1.0
conn_0411,device_0175,device_0108,True,1.0,1.0
conn_0412,device_0052,device_0137,True,1.0,1.0
conn_0413,device_0189,device_0198,True,1.0,1.0
conn_0414,device_0018,device_0191,True,1.0,1.0
conn_0415,device_0006,device_0117,True,1.0,1.0
conn_0416,device_0009,device_0022,True,1.0,1.0
conn_0417,device_0045,device_0064,True,1.0,1.0
conn_0418,device_0147,device_0058,True,1.0,1.0
conn_0419,device_0104,device_0099,True,1.0,1.0
conn_0420,device_0103,device_0110,True,1.0,1.0
conn_0421,device_0099,device_0172,False,0.0,0.0
conn_0422,device_0001,device_0164,True,1.0,1.0
conn_0423,device_0016,device_0193,True,1.0,1.0
conn_0424,device_0011,device_0179,True,1.0,1.0
conn_0425,device_0091,device_0128,False,0.0,0.0
conn_0426,device_0175,device_0077,True,1.0,1.0
conn_0427,device_0072,device_0195,True,1.0,1.0
conn_0428,device_0097,device_0101,True,1.0,1.0
conn_0429,device_0007,device_0121,True,1.0,1.0
conn_0430,device_0056,device_0034,True,1.0,1.0
conn_0431,device_0139,device_0075,True,1.0,1.0
conn_0432,device_0036,device_0076,True,1.0,1.0
conn_0433,device_0186,device_0165,True,1.0,1.0
conn_0434,device_0002,device_0141,True,1.0,1.0
conn_0435,device_0036,device_0031,True,1.0,1.0
conn_0436,device_0146,device_0152,True,1.0,1.0
conn_0437,device_0140,device_0021,True,1.0,1.0
conn_0438,device_0191,device_0189,True,1.0,1.0
conn_0439,device_0088,device_0054,True,1.0,1.0
conn_0440,device_0165,device_0131,True,1.0,1.0
conn_0441,device_0047,device_0056,True,1.0,1.0
conn_0442,device_0064,device_0049,True,1.0,1.0
conn_0443,device_0171,device_0145,True,1.0,1.0
conn_0444,device_0192,device_0140,True,1.0,1.0
conn_0445,device_0140,device_0018,True,1.0,1.0
conn_0446,device_0017,device_0064,True,1.0,1.0
conn_0447,device_0185,device_0148,True,1.0,1.0
conn_0448,device_0084,device_0091,True,1.0,1.0
conn_0449,device_0167,device_0060,True,1.0,1.0
conn_0450,device_0158,device_0017,True,1.0,1.0
conn_0451,device_0081,device_0124,True,1.0,1.0
conn_0452,device_0157,device_0168,True,1.0,1.0
conn_0453,device_0149,device_0039,True,1.0,1.0
conn_0454,device_0093,device_0080,True,1.0,1.0
conn_0455,device_0043,device_0001,True,1.0,1.0
conn_0456,device_0056,device_0182,True,1.0,1.0
conn_0457,device_0111,device_0070,True,1.0,1.0
conn_0458,device_0034,device_0173,True,1.0,1.0
conn_0459,device_0122,device_0118,True,1.0,1.0
conn_0460,device_0198,device_0078,True,1.0,1.0
conn_0461,device_0027,device_0044,True,1.0,1.0
conn_0462,device_0020,device_0071,True,1.0,1.0
conn_0463,device_0035,device_0137,False,0.0,0.0
conn_0464,device_0187,device_0160,True,1.0,1.0
conn_0465,device_0019,device_0004,True,1.0,1.0
conn_0466,device_0161,device_0007,True,1.0,1.0
conn_0467,device_0148,device_0103,True,1.0,1.0
conn_0468,device_0054,device_0009,True,1.0,1.0
conn_0469,device_0139,device_0138,True,1.0,1.0
conn_0470,device_0198,device_0038,True,1.0,1.0
conn_0471,device_0057,device_0197,True,1.0,1.0
conn_0472,device_0074,device_0034,True,1.0,1.0
conn_0473,device_0130,device_0023,True,1.0,1.0
conn_0474,device_0128,device_0002,True,1.0,1.0
conn_0475,device_0157,device_0175,True,1.0,1.0
conn_0476,device_0131,device_0035,True,1.0,1.0
conn_0477,device_0045,device_0144,True,1.0,1.0
conn_0478,device_0168,device_0037,False,0.0,0.0
conn_0479,device_0123,device_0091,True,1.0,1.0
conn_0480,device_0194,device_0124,True,1.0,1.0
conn_0481,device_0067,device_0094,True,1.0,1.0
conn_0482,device_0171,device_0052,False,0.0,0.0
conn_0483,device_0092,device_0099,True,1.0,1.0
conn_0484,device_0116,device_0011,True,1.0,1.0
conn_0485,device_0166,device_0082,True,1.0,1.0
conn_0486,device_0133,device_0162,True,1.0,1.0
conn_0487,device_0189,device_0067,True,1.0,1.0
conn_0488,device_0145,device_0044,True,1.0,1.0
conn_0489,device_0096,device_0093,True,1.0,1.0
conn_0490,device_0019,device_0132,True,1.0,1.0
conn_0491,device_0057,device_0132,True,1.0,1.0
conn_0492,device_0088,device_0124,True,1.0,1.0
conn_0493,device_0154,device_0001,True,1.0,1.0
conn_0494,device_0035,device_0112,True,1.0,1.0
conn_0495,device_0019,device_0131,True,1.0,1.0
conn_0496,device_0054,device_0038,True,1.0,1.0
conn_0497,device_0092,device_0154,True,1.0,1.0
conn_0498,device_0030,device_0169,True,1.0,1.0
conn_0499,device_0084,device_0184,True,1.0,1.0
