event_id,expert_id,business_id,is_allowed,should_be_blocked,detection_correct,blocking_partnership,reason
event_0150,expert_0186,business_0045,True,False,True,,
event_0151,expert_0070,business_0081,True,False,True,,
event_0152,expert_0019,business_0085,True,False,True,,
event_0153,expert_0131,business_0095,True,False,True,,
event_0154,expert_0036,business_0077,True,False,True,,
event_0155,expert_0008,business_0016,False,True,True,partnership_0025,Category exclusivity violation
event_0156,expert_0092,business_0049,True,False,True,,
event_0157,expert_0154,business_0019,True,False,True,,
event_0158,expert_0095,business_0056,True,False,True,,
event_0159,expert_0035,business_0067,True,False,True,,
event_0160,expert_0166,business_0035,True,False,True,,
event_0161,expert_0006,business_0094,True,False,True,,
event_0162,expert_0099,business_0071,True,False,True,,
event_0163,expert_0180,business_0057,True,False,True,,
event_0164,expert_0073,business_0088,False,True,True,partnership_0017,Category exclusivity violation
event_0165,expert_0051,business_0015,True,False,True,,
event_0166,expert_0115,business_0022,True,False,True,,
event_0167,expert_0022,business_0087,True,False,True,,
event_0168,expert_0170,business_0044,True,False,True,,
event_0169,expert_0138,business_0037,True,False,True,,
event_0170,expert_0182,business_0090,True,False,True,,
event_0171,expert_0092,business_0065,True,False,True,,
event_0172,expert_0035,business_0030,True,False,True,,
event_0173,expert_0092,business_0070,True,False,True,,
event_0174,expert_0141,business_0016,True,False,True,,
event_0175,expert_0016,business_0039,True,False,True,,
event_0176,expert_0134,business_0052,True,False,True,,
event_0177,expert_0018,business_0016,True,False,True,,
event_0178,expert_0115,business_0059,True,False,True,,
event_0179,expert_0032,business_0099,True,False,True,,
event_0180,expert_0046,business_0098,True,False,True,,
event_0181,expert_0128,business_0007,True,False,True,,
event_0182,expert_0039,business_0038,True,False,True,,
event_0183,expert_0181,business_0028,True,False,True,,
event_0184,expert_0072,business_0010,True,False,True,,
event_0185,expert_0070,business_0016,True,False,True,,
event_0186,expert_0136,business_0011,True,False,True,,
event_0187,expert_0151,business_0074,True,False,True,,
event_0188,expert_0184,business_0077,True,False,True,,
event_0189,expert_0010,business_0003,True,False,True,,
event_0190,expert_0067,business_0083,True,False,True,,
event_0191,expert_0106,business_0079,True,False,True,,
event_0192,expert_0160,business_0069,False,True,True,partnership_0024,Category exclusivity violation
event_0193,expert_0123,business_0031,True,False,True,,
event_0194,expert_0076,business_0058,True,False,True,,
event_0195,expert_0040,business_0056,True,False,True,,
event_0196,expert_0052,business_0043,True,False,True,,
event_0197,expert_0183,business_0040,True,False,True,,
event_0198,expert_0102,business_0016,True,False,True,,
event_0199,expert_0143,business_0013,True,False,True,,
